RecommendationID,ProductID,MaterialID,RankingScore,CO2ImpactIndex,CostEfficiencyIndex,MaterialSuitabilityScore,RecommendationReason,MaterialName,MaterialType,StrengthRating,WeightCapacity_KG,BiodegradabilityScore,BiodegradationTime_Months,CO2_Emissions_KG_Per_Ton,RecyclabilityPercentage,CostPerKG_USD,Durability_Months,ChemicalResistance,MoistureBarrier,OxygenBarrier,CompostableStatus,SupplierAvailability,CompatibleProducts,ScaleRating,InnovationLevel,RegulationCompliance,ProductName,ProductCategory,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD,strength_gap,moisture_gap,oxygen_gap,estimated_cost_per_unit_usd,budget_gap,estimated_co2_per_unit_kg,is_strength_insufficient,is_moisture_insufficient,is_oxygen_insufficient,is_over_budget,preference_alignment
2104,421,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Ginger Garlic Paste 200g,Condiments & Sauces,0.2,4,3,7,6,600,3.0,1,1,0.22,6.0,3.0,4.0,0.30000000000000004,-0.08000000000000004,0.19,0,0,0,1,1.0
2105,421,4,72.9,82.94,89.38,53.01,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled PET (rPET),Plastic,8.0,25.0,20.0,1000.0,824.0,70.0,0.95,36.0,8.0,9.0,8.0,No,High,"Beverages, Food, General",9.0,4.0,"EU, FDA",Ginger Garlic Paste 200g,Condiments & Sauces,0.2,4,3,7,6,600,3.0,1,1,0.22,4.0,2.0,2.0,0.19,0.03,0.1648,0,0,0,0,1.0
2106,422,15,88.69,90.35,100.0,78.96,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Red Wine Vinegar 500ml,Condiments & Sauces,0.5,4,2,4,4,1700,24.0,1,1,0.35,5.0,4.0,3.0,0.175,0.175,0.2655,0,0,0,0,1.0
2107,422,19,83.54,98.73,84.96,71.08,Meets strength requirements; Satisfies barrier needs; High recyclability,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Red Wine Vinegar 500ml,Condiments & Sauces,0.5,4,2,4,4,1700,24.0,1,1,0.35,6.0,5.0,6.0,0.6,-0.25,0.1,0,0,0,1,1.0
2108,422,1,82.62,86.08,98.23,68.33,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Red Wine Vinegar 500ml,Condiments & Sauces,0.5,4,2,4,4,1700,24.0,1,1,0.35,4.0,4.0,3.0,0.225,0.12499999999999997,0.35,0,0,0,0,1.0
2109,422,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Red Wine Vinegar 500ml,Condiments & Sauces,0.5,4,2,4,4,1700,24.0,1,1,0.35,6.0,6.0,6.0,0.75,-0.4,0.475,0,0,0,1,1.0
2110,422,13,74.72,86.84,94.69,50.66,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Red Wine Vinegar 500ml,Condiments & Sauces,0.5,4,2,4,4,1700,24.0,1,1,0.35,4.0,3.0,2.0,0.325,0.024999999999999967,0.335,0,0,0,0,1.0
2111,423,15,88.69,90.35,100.0,78.96,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Balsamic Vinegar 250ml,Condiments & Sauces,0.25,4,3,4,4,1900,24.0,1,1,0.45,5.0,4.0,3.0,0.0875,0.36250000000000004,0.13275,0,0,0,0,1.0
2112,423,19,86.85,98.73,84.96,79.36,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Balsamic Vinegar 250ml,Condiments & Sauces,0.25,4,3,4,4,1900,24.0,1,1,0.45,6.0,5.0,6.0,0.3,0.15000000000000002,0.05,0,0,0,0,1.0
2113,423,1,84.36,86.08,98.23,72.66,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Balsamic Vinegar 250ml,Condiments & Sauces,0.25,4,3,4,4,1900,24.0,1,1,0.45,4.0,4.0,3.0,0.1125,0.3375,0.175,0,0,0,0,1.0
2114,423,13,79.92,86.84,94.69,63.66,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Balsamic Vinegar 250ml,Condiments & Sauces,0.25,4,3,4,4,1900,24.0,1,1,0.45,4.0,3.0,2.0,0.1625,0.2875,0.1675,0,0,0,0,1.0
2115,423,40,79.43,79.75,79.65,79.04,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Balsamic Vinegar 250ml,Condiments & Sauces,0.25,4,3,4,4,1900,24.0,1,1,0.45,6.0,6.0,6.0,0.375,0.07500000000000001,0.2375,0,0,0,0,1.0
2116,424,15,90.52,90.35,100.0,83.55,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Oregano Dried 50g,Staples & Seasoning,0.05,2,1,2,2,2200,24.0,1,1,0.18,7.0,6.0,5.0,0.017499999999999998,0.1625,0.026550000000000004,0,0,0,0,1.0
2117,424,19,89.78,98.73,84.96,86.69,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Oregano Dried 50g,Staples & Seasoning,0.05,2,1,2,2,2200,24.0,1,1,0.18,8.0,7.0,8.0,0.06,0.12,0.010000000000000002,0,0,0,0,1.0
2118,424,1,86.91,86.08,98.23,79.05,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Oregano Dried 50g,Staples & Seasoning,0.05,2,1,2,2,2200,24.0,1,1,0.18,6.0,6.0,5.0,0.022500000000000003,0.1575,0.034999999999999996,0,0,0,0,1.0
2119,424,13,83.67,86.84,94.69,73.04,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Oregano Dried 50g,Staples & Seasoning,0.05,2,1,2,2,2200,24.0,1,1,0.18,6.0,5.0,4.0,0.0325,0.1475,0.0335,0,0,0,0,1.0
2120,424,40,82.95,79.75,79.65,87.82,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Oregano Dried 50g,Staples & Seasoning,0.05,2,1,2,2,2200,24.0,1,1,0.18,8.0,8.0,8.0,0.07500000000000001,0.10499999999999998,0.0475,0,0,0,0,1.0
2121,425,15,90.52,90.35,100.0,83.55,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Thyme Dried 30g,Staples & Seasoning,0.03,2,1,2,2,2100,24.0,1,1,0.2,7.0,6.0,5.0,0.017499999999999998,0.18250000000000002,0.026550000000000004,0,0,0,0,1.0
2122,425,19,90.01,98.73,84.96,87.26,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Thyme Dried 30g,Staples & Seasoning,0.03,2,1,2,2,2100,24.0,1,1,0.2,8.0,7.0,8.0,0.06,0.14,0.010000000000000002,0,0,0,0,1.0
2123,425,1,86.94,86.08,98.23,79.12,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Thyme Dried 30g,Staples & Seasoning,0.03,2,1,2,2,2100,24.0,1,1,0.2,6.0,6.0,5.0,0.022500000000000003,0.17750000000000002,0.034999999999999996,0,0,0,0,1.0
2124,425,13,83.75,86.84,94.69,73.24,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Thyme Dried 30g,Staples & Seasoning,0.03,2,1,2,2,2100,24.0,1,1,0.2,6.0,5.0,4.0,0.0325,0.1675,0.0335,0,0,0,0,1.0
2125,425,40,83.26,79.75,79.65,88.6,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Thyme Dried 30g,Staples & Seasoning,0.03,2,1,2,2,2100,24.0,1,1,0.2,8.0,8.0,8.0,0.07500000000000001,0.125,0.0475,0,0,0,0,1.0
2126,426,15,90.52,90.35,100.0,83.55,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Rosemary Dried 40g,Staples & Seasoning,0.04,2,1,2,2,2000,24.0,1,1,0.22,7.0,6.0,5.0,0.017499999999999998,0.2025,0.026550000000000004,0,0,0,0,1.0
2127,426,19,90.19,98.73,84.96,87.72,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Rosemary Dried 40g,Staples & Seasoning,0.04,2,1,2,2,2000,24.0,1,1,0.22,8.0,7.0,8.0,0.06,0.16,0.010000000000000002,0,0,0,0,1.0
2128,426,1,86.96,86.08,98.23,79.17,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Rosemary Dried 40g,Staples & Seasoning,0.04,2,1,2,2,2000,24.0,1,1,0.22,6.0,6.0,5.0,0.022500000000000003,0.1975,0.034999999999999996,0,0,0,0,1.0
2129,426,13,83.82,86.84,94.69,73.4,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Rosemary Dried 40g,Staples & Seasoning,0.04,2,1,2,2,2000,24.0,1,1,0.22,6.0,5.0,4.0,0.0325,0.1875,0.0335,0,0,0,0,1.0
2130,426,40,83.51,79.75,79.65,89.22,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Rosemary Dried 40g,Staples & Seasoning,0.04,2,1,2,2,2000,24.0,1,1,0.22,8.0,8.0,8.0,0.07500000000000001,0.145,0.0475,0,0,0,0,1.0
2131,427,15,90.35,90.35,100.0,83.1,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Paprika Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1800,24.0,1,1,0.25,6.0,6.0,5.0,0.034999999999999996,0.215,0.05310000000000001,0,0,0,0,1.0
2132,427,19,88.71,98.73,84.96,84.01,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Paprika Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1800,24.0,1,1,0.25,7.0,7.0,8.0,0.12,0.13,0.020000000000000004,0,0,0,0,1.0
2133,427,1,86.43,86.08,98.23,77.84,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Paprika Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1800,24.0,1,1,0.25,5.0,6.0,5.0,0.045000000000000005,0.205,0.06999999999999999,0,0,0,0,1.0
2134,427,13,82.94,86.84,94.69,71.2,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Paprika Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1800,24.0,1,1,0.25,5.0,5.0,4.0,0.065,0.185,0.067,0,0,0,0,1.0
2135,427,40,81.5,79.75,79.65,84.2,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Paprika Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1800,24.0,1,1,0.25,7.0,8.0,8.0,0.15000000000000002,0.09999999999999998,0.095,0,0,0,0,1.0
2136,428,15,90.35,90.35,100.0,83.1,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Black Pepper Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1900,36.0,1,1,0.3,6.0,6.0,5.0,0.034999999999999996,0.265,0.05310000000000001,0,0,0,0,1.0
2137,428,19,89.31,98.73,84.96,85.5,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Black Pepper Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1900,36.0,1,1,0.3,7.0,7.0,8.0,0.12,0.18,0.020000000000000004,0,0,0,0,1.0
2138,428,1,86.5,86.08,98.23,78.02,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Black Pepper Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1900,36.0,1,1,0.3,5.0,6.0,5.0,0.045000000000000005,0.255,0.06999999999999999,0,0,0,0,1.0
2139,428,13,83.15,86.84,94.69,71.73,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Black Pepper Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1900,36.0,1,1,0.3,5.0,5.0,4.0,0.065,0.235,0.067,0,0,0,0,1.0
2140,428,40,82.31,79.75,79.65,86.22,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Black Pepper Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1900,36.0,1,1,0.3,7.0,8.0,8.0,0.15000000000000002,0.14999999999999997,0.095,0,0,0,0,1.0
2141,429,19,90.58,98.73,84.96,88.68,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",White Pepper Powder 50g,Staples & Seasoning,0.05,3,1,2,2,2000,36.0,1,1,0.28,7.0,7.0,8.0,0.06,0.22000000000000003,0.010000000000000002,0,0,0,0,1.0
2142,429,15,90.35,90.35,100.0,83.1,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",White Pepper Powder 50g,Staples & Seasoning,0.05,3,1,2,2,2000,36.0,1,1,0.28,6.0,6.0,5.0,0.017499999999999998,0.2625,0.026550000000000004,0,0,0,0,1.0
2143,429,1,86.65,86.08,98.23,78.39,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",White Pepper Powder 50g,Staples & Seasoning,0.05,3,1,2,2,2000,36.0,1,1,0.28,5.0,6.0,5.0,0.022500000000000003,0.2575,0.034999999999999996,0,0,0,0,1.0
2144,429,40,84.03,79.75,79.65,90.52,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",White Pepper Powder 50g,Staples & Seasoning,0.05,3,1,2,2,2000,36.0,1,1,0.28,7.0,8.0,8.0,0.07500000000000001,0.20500000000000002,0.0475,0,0,0,0,1.0
2145,429,13,83.6,86.84,94.69,72.85,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",White Pepper Powder 50g,Staples & Seasoning,0.05,3,1,2,2,2000,36.0,1,1,0.28,5.0,5.0,4.0,0.0325,0.24750000000000003,0.0335,0,0,0,0,1.0
2146,430,15,90.35,90.35,100.0,83.1,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Cinnamon Powder 100g,Staples & Seasoning,0.1,3,1,2,2,2100,36.0,1,1,0.25,6.0,6.0,5.0,0.034999999999999996,0.215,0.05310000000000001,0,0,0,0,1.0
2147,430,19,88.71,98.73,84.96,84.01,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Cinnamon Powder 100g,Staples & Seasoning,0.1,3,1,2,2,2100,36.0,1,1,0.25,7.0,7.0,8.0,0.12,0.13,0.020000000000000004,0,0,0,0,1.0
2148,430,1,86.43,86.08,98.23,77.84,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Cinnamon Powder 100g,Staples & Seasoning,0.1,3,1,2,2,2100,36.0,1,1,0.25,5.0,6.0,5.0,0.045000000000000005,0.205,0.06999999999999999,0,0,0,0,1.0
2149,430,13,82.94,86.84,94.69,71.2,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Cinnamon Powder 100g,Staples & Seasoning,0.1,3,1,2,2,2100,36.0,1,1,0.25,5.0,5.0,4.0,0.065,0.185,0.067,0,0,0,0,1.0
2150,430,40,81.5,79.75,79.65,84.2,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Cinnamon Powder 100g,Staples & Seasoning,0.1,3,1,2,2,2100,36.0,1,1,0.25,7.0,8.0,8.0,0.15000000000000002,0.09999999999999998,0.095,0,0,0,0,1.0
2151,431,19,90.98,98.73,84.96,89.69,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Cardamom Pods 50g,Staples & Seasoning,0.05,3,1,2,2,2200,24.0,1,1,0.4,7.0,7.0,8.0,0.06,0.34,0.010000000000000002,0,0,0,0,1.0
2152,431,15,90.35,90.35,100.0,83.1,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Cardamom Pods 50g,Staples & Seasoning,0.05,3,1,2,2,2200,24.0,1,1,0.4,6.0,6.0,5.0,0.017499999999999998,0.3825,0.026550000000000004,0,0,0,0,1.0
2153,431,1,86.7,86.08,98.23,78.51,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Cardamom Pods 50g,Staples & Seasoning,0.05,3,1,2,2,2200,24.0,1,1,0.4,5.0,6.0,5.0,0.022500000000000003,0.3775,0.034999999999999996,0,0,0,0,1.0
2154,431,40,84.58,79.75,79.65,91.89,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Cardamom Pods 50g,Staples & Seasoning,0.05,3,1,2,2,2200,24.0,1,1,0.4,7.0,8.0,8.0,0.07500000000000001,0.325,0.0475,0,0,0,0,1.0
2155,431,13,83.74,86.84,94.69,73.21,Meets strength requirements; Satisfies barrier needs; Cost within budget,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Cardamom Pods 50g,Staples & Seasoning,0.05,3,1,2,2,2200,24.0,1,1,0.4,5.0,5.0,4.0,0.0325,0.36750000000000005,0.0335,0,0,0,0,1.0
2156,432,19,90.85,98.73,84.96,89.36,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Cloves Whole 50g,Staples & Seasoning,0.05,3,1,2,2,2300,24.0,1,1,0.35,7.0,7.0,8.0,0.06,0.29,0.010000000000000002,0,0,0,0,1.0
2157,432,15,90.35,90.35,100.0,83.1,Meets strength requirements; Satisfies barrier needs; Cost within budget,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Cloves Whole 50g,Staples & Seasoning,0.05,3,1,2,2,2300,24.0,1,1,0.35,6.0,6.0,5.0,0.017499999999999998,0.33249999999999996,0.026550000000000004,0,0,0,0,1.0
2158,432,1,86.68,86.08,98.23,78.47,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Cloves Whole 50g,Staples & Seasoning,0.05,3,1,2,2,2300,24.0,1,1,0.35,5.0,6.0,5.0,0.022500000000000003,0.32749999999999996,0.034999999999999996,0,0,0,0,1.0
