Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_pct,CO2_Emission_g,Recyclability_pct,Cost_per_kg_INR,Typical_Product_Category,extreme_outlier,CO2_Impact_Index,Biodeg_Index,Recycl_Index,Cost_per_Strength,Cost_Strength_Norm,Cost_Efficiency_Index,Material_Suitability_Score
Glassine Paper,52.24,10.78,92,38,97,70.18,Food,FALSE,0.1375,0.891891892,0.97,1.343414982,0.216962796,0.783037204,0.872951869
Palm Leaf,17.97,9.64,74,169,68,31.31,Food,FALSE,0.683333333,0.648648649,0.68,1.742348261,0.217381861,0.782618139,0.605415796
Cotton Padding,32.08,10.78,81,89,58,31.26,Food,FALSE,0.35,0.743243243,0.58,0.974438872,0.216575199,0.783424801,0.697329173
Recycled Paper,30.27,15.68,94,93,91,63.55,Food,FALSE,0.366666667,0.918918919,0.91,2.099438318,0.217756971,0.782243029,0.811569766
Cotton Padding,7.55,18.53,82,161,35,30.43,Food,FALSE,0.65,0.756756757,0.35,4.030463042,0.219785444,0.780214556,0.579580666
PLA Bioplastic,24.21,16.23,77,95,68,74.26,Food,FALSE,0.375,0.689189189,0.68,3.067327424,0.218773704,0.781226296,0.694313331
Glassine Paper,36.55,17.54,81,80,65,112.36,Food,FALSE,0.3125,0.743243243,0.65,3.074144923,0.218780866,0.781219134,0.720152757
Cornstarch Polymer,28.11,11.14,67,58,84,66.65,Food,FALSE,0.220833333,0.554054054,0.84,2.371042249,0.218042281,0.781957719,0.724497313
Mushroom Packaging,17.84,3.57,100,59,61,104.79,Food,FALSE,0.225,1,0.61,5.873878595,0.221721886,0.778278114,0.810319528
Cotton Padding,39.37,12.76,67,103,46,54.21,Food,FALSE,0.408333333,0.554054054,0.46,1.376936719,0.216998009,0.783001991,0.601883381
Corrugated Cardboard,20.81,1.41,75,130,71,90.04,Food,FALSE,0.520833333,0.662162162,0.71,4.32676577,0.220096699,0.779903301,0.655416141
Wheat Straw,19.75,11.1,100,79,95,48.42,Food,FALSE,0.308333333,1,0.95,2.451645445,0.218126952,0.781873048,0.858384929
HDPE (Recycled),76.81,8.63,68,184,72,81.42,Food,FALSE,0.745833333,0.567567568,0.72,1.060018213,0.216665097,0.783334903,0.573645663
Bamboo Fiber,67.73,14.63,62,132,74,10.29,Food,FALSE,0.529166667,0.486486486,0.74,0.151926766,0.21571118,0.78428882,0.607726484
Cellulose Film,42.22,11.21,75,85,90,64.61,Food,FALSE,0.333333333,0.662162162,0.9,1.530317349,0.21715913,0.78284087,0.741025533
Palm Leaf,15.89,8.94,86,40,49,45.22,Food,FALSE,0.145833333,0.810810811,0.49,2.845814799,0.218541013,0.781458987,0.750149657
Cornstarch Polymer,26.95,5.8,91,62,26,99.17,Food,FALSE,0.2375,0.878378378,0.26,3.679777229,0.219417061,0.780582939,0.701284248
Corrugated Cardboard,43.64,16.17,54,148,46,83.34,Food,FALSE,0.595833333,0.378378378,0.46,1.909715813,0.217557674,0.782442326,0.502165762
Seaweed-based,31.44,16.61,88,92,43,51.17,Food,FALSE,0.3625,0.837837838,0.43,1.627544477,0.217261263,0.782738737,0.692411035
Corrugated Cardboard,20.24,12.15,66,176,66,82.55,Food,FALSE,0.7125,0.540540541,0.66,4.078557111,0.219835965,0.780164035,0.561078171
Bamboo Fiber,65.08,14.07,61,16,50,78.25,Food,FALSE,0.045833333,0.472972973,0.5,1.2023663,0.216814629,0.783185371,0.676229901
Cornstarch Polymer,21.23,6,87,44,78,57.73,Food,FALSE,0.1625,0.824324324,0.78,2.719265063,0.218408077,0.781591923,0.808070278
HDPE (Recycled),47.82,6.44,69,162,96,45.38,Food,FALSE,0.654166667,0.581081081,0.96,0.948975304,0.216548451,0.783451549,0.648645545
Bamboo Fiber,63.85,2.82,64,184,80,37.23,Food,FALSE,0.745833333,0.513513514,0.8,0.583085347,0.216164096,0.783835904,0.573554697
Palm Leaf,42.79,18.03,48,105,54,28.2,Food,FALSE,0.416666667,0.297297297,0.54,0.659032469,0.216243876,0.783756124,0.538961553
Cotton Padding,43.66,11.35,42,106,88,75.24,Food,FALSE,0.420833333,0.216216216,0.88,1.723316497,0.217361869,0.782638131,0.581316064
Glassine Paper,36.03,12.25,79,72,68,79.31,Food,FALSE,0.279166667,0.716216216,0.68,2.201221143,0.21786389,0.78213611,0.726607226
Glassine Paper,41.94,7.73,70,70,72,63.74,Food,FALSE,0.270833333,0.594594595,0.72,1.51979014,0.217148071,0.782851929,0.700383027
Seaweed-based,11.89,9.82,96,68,52,35.43,Food,FALSE,0.2625,0.945945946,0.52,2.97981472,0.218681775,0.781318225,0.76748834
Glassine Paper,25.08,3.53,73,137,68,82.65,Food,FALSE,0.55,0.635135135,0.68,3.295454414,0.219013343,0.780986657,0.634287205
Hemp Fiber,59.64,8.15,45,56,59,96.81,Food,FALSE,0.2125,0.256756757,0.59,1.623239409,0.217256741,0.782743259,0.587587842
Hemp Fiber,43.66,7.92,100,87,75,74.91,Food,FALSE,0.341666667,1,0.75,1.715758092,0.217353929,0.782646071,0.810244851
Bamboo Fiber,62.67,14.04,81,100,67,70.33,Food,FALSE,0.395833333,0.743243243,0.67,1.122227523,0.216730446,0.783269554,0.703832028
PLA-coated Paper,60.7,9.38,61,78,63,61.43,Food,FALSE,0.304166667,0.472972973,0.63,1.012026342,0.216614684,0.783385316,0.637696554
Cellulose Film,30.98,10.19,76,121,76,23.53,Food,FALSE,0.483333333,0.675675676,0.76,0.759522248,0.216349437,0.783650563,0.67978201
PLA Bioplastic,24.51,10.82,80,61,100,72.47,Food,FALSE,0.233333333,0.72972973,1,2.956752225,0.218657549,0.781342451,0.805921198
PLA Bioplastic,39,14.21,63,148,38,46.3,Food,FALSE,0.595833333,0.5,0.38,1.187179457,0.216798676,0.783201324,0.522841998
Corrugated Cardboard,37.45,16.87,100,40,34,51.42,Food,FALSE,0.145833333,1,0.34,1.373030671,0.216993906,0.783006094,0.77729319
Wheat Straw,23.81,5.55,94,136,64,42.88,Food,FALSE,0.545833333,0.918918919,0.64,1.800923906,0.217443392,0.782556608,0.712856494
Jute Fiber,66.87,6.67,70,94,63,40.32,Food,FALSE,0.370833333,0.594594595,0.63,0.60296096,0.216184975,0.783815025,0.657623801
Starch Foam,20.83,9.78,63,51,54,41.98,Food,FALSE,0.191666667,0.5,0.54,2.015362361,0.217668652,0.782331348,0.65566617
Mushroom Packaging,42.16,2.82,71,102,71,33.2,Food,FALSE,0.404166667,0.608108108,0.71,0.787476262,0.216378802,0.783621198,0.669296065
Bagasse (Sugarcane),23.48,11.8,78,93,61,75.69,Food,FALSE,0.366666667,0.702702703,0.61,3.223594411,0.218937857,0.781062143,0.68640968
Corrugated Cardboard,35.82,10.54,55,86,100,60,Food,FALSE,0.3375,0.391891892,1,1.675041829,0.217311158,0.782688842,0.678864778
Palm Leaf,40.19,15.98,76,90,53,97.58,Food,FALSE,0.354166667,0.675675676,0.53,2.427967096,0.218102079,0.781897921,0.665635516
Seaweed-based,44.5,6.1,76,102,56,121.69,Food,FALSE,0.404166667,0.675675676,0.56,2.73460668,0.218424193,0.781575807,0.659054988
HDPE (Recycled),70.61,4.15,95,65,61,98.68,Food,FALSE,0.25,0.932432432,0.61,1.39753574,0.217019647,0.782980353,0.784974818
Hemp Fiber,37.42,13.55,66,130,86,75.8,Food,FALSE,0.520833333,0.540540541,0.86,2.025654676,0.217679464,0.782320536,0.649533963
HDPE (Recycled),43.06,11.97,65,92,53,132.07,Food,FALSE,0.3625,0.527027027,0.53,3.067115581,0.218773482,0.781226518,0.618789738
Cellulose Film,12.39,6.7,65,111,89,33.72,Food,FALSE,0.441666667,0.527027027,0.89,2.721549417,0.218410477,0.781589523,0.671088822
Seaweed-based,23.35,15.77,44,153,79,85.98,Food,FALSE,0.616666667,0.243243243,0.79,3.682226823,0.219419634,0.780580366,0.521951398
Cotton Padding,20.18,11.94,80,110,73,45.45,Food,FALSE,0.4375,0.72972973,0.73,2.252229819,0.217917473,0.782082527,0.701064551
Hemp Fiber,58.66,9.39,57,66,88,77.71,Food,FALSE,0.254166667,0.418918919,0.88,1.32475279,0.216943192,0.783056808,0.683898211
Hemp Fiber,53.6,18.07,68,61,62,80.5,Food,FALSE,0.233333333,0.567567568,0.62,1.501865644,0.217129242,0.782870758,0.681654626
Starch Foam,34.3,0.94,100,98,56,79.32,Food,FALSE,0.3875,1,0.56,2.312536376,0.217980823,0.782019177,0.760629794
Cotton Padding,23.85,12.77,80,39,6,105.03,Food,FALSE,0.141666667,0.72972973,0.06,4.4037734,0.220177593,0.779822407,0.640457854
Cellulose Film,8.65,7.42,87,57,46,81.84,Food,FALSE,0.216666667,0.824324324,0.46,9.461270583,0.225490313,0.774509687,0.728758052
Jute Fiber,46.01,14.6,80,75,53,41,Food,FALSE,0.291666667,0.72972973,0.53,0.891110609,0.216487666,0.783512334,0.697880336
Jute Fiber,76.7,8.37,68,157,76,56.2,Food,FALSE,0.633333333,0.567567568,0.76,0.732724893,0.216321287,0.783678713,0.609856615
Bagasse (Sugarcane),24.8,6.42,87,21,61,56.83,Food,FALSE,0.066666667,0.824324324,0.61,2.291532166,0.217958759,0.782041241,0.798140941
Seaweed-based,22.14,12.26,76,55,46,102.8,Food,FALSE,0.208333333,0.675675676,0.46,4.643179555,0.220429081,0.779570919,0.687512099
Palm Leaf,16.29,11.64,79,117,65,98.62,Food,FALSE,0.466666667,0.716216216,0.65,6.0540205,0.221911119,0.778088881,0.672720419
Bamboo Fiber,64.93,6.25,63,160,62,121.17,Food,FALSE,0.645833333,0.5,0.62,1.866163532,0.217511924,0.782488076,0.558163686
Cotton Padding,29.01,7.04,95,114,100,64.54,Food,FALSE,0.454166667,0.932432432,1,2.224750009,0.217888607,0.782111393,0.811715911
Seaweed-based,33.94,13.08,80,153,70,48.49,Food,FALSE,0.616666667,0.72972973,0.7,1.42869766,0.217052382,0.782947618,0.650489157
Cellulose Film,28.79,10.85,86,153,73,102.91,Food,FALSE,0.616666667,0.810810811,0.73,3.574504912,0.219306476,0.780693524,0.680249958
Bamboo Fiber,74.36,14.04,85,55,52,78.31,Food,FALSE,0.208333333,0.797297297,0.52,1.053119943,0.216657851,0.783342149,0.736941393
Paperboard,42.62,10.43,57,123,100,88.54,Food,FALSE,0.491666667,0.418918919,1,2.077428389,0.21773385,0.78226615,0.648325546
Starch Foam,21.73,6.68,60,33,81,72.62,Food,FALSE,0.116666667,0.459459459,0.81,3.341923454,0.219062157,0.780937843,0.715905632
Glassine Paper,51.72,18.31,67,158,89,64.45,Food,FALSE,0.6375,0.554054054,0.89,1.246133,0.216860604,0.783139396,0.630626065
Paperboard,37.78,12.59,90,117,100,31.24,Food,FALSE,0.466666667,0.864864865,1,0.826892514,0.216420207,0.783579793,0.788687741
HDPE (Recycled),56.73,10.18,87,116,74,4.91,Food,FALSE,0.4625,0.824324324,0.74,0.086550325,0.215642504,0.784357496,0.725761671
Jute Fiber,78.41,7.22,58,69,100,82.93,Food,FALSE,0.266666667,0.432432432,1,1.057645695,0.216662605,0.783337395,0.708897412
Cornstarch Polymer,14.66,9.42,83,117,78,66.95,Food,FALSE,0.466666667,0.77027027,0.78,4.566848256,0.220348897,0.779651103,0.71532719
Bamboo Fiber,64.64,21.54,89,68,50,31.88,Food,FALSE,0.2625,0.851351351,0.5,0.493193062,0.216069668,0.783930332,0.735762988
Recycled Paper,31.25,15.68,64,84,66,106.36,Food,FALSE,0.329166667,0.513513514,0.66,3.403519891,0.219126862,0.780873138,0.648980672
Cotton Padding,34.02,11.98,74,121,53,78.08,Food,FALSE,0.483333333,0.648648649,0.53,2.29512045,0.217962528,0.782037472,0.625270629
Corrugated Cardboard,47.79,10.32,99,106,64,49.51,Food,FALSE,0.420833333,0.986486486,0.64,1.035990771,0.216639857,0.783360143,0.764577648
Hemp Fiber,53.57,6,100,106,65,64.77,Food,FALSE,0.420833333,1,0.65,1.209072219,0.216821673,0.783178327,0.770586248
Mushroom Packaging,19.63,7.51,96,81,97,77.04,Food,FALSE,0.316666667,0.945945946,0.97,3.924604996,0.219674244,0.780325756,0.843698556
Bagasse (Sugarcane),24.81,14.72,96,75,83,99.43,Food,FALSE,0.291666667,0.945945946,0.83,4.007658041,0.219761488,0.780238512,0.821926745
HDPE (Recycled),54.69,12.3,75,165,58,99.34,Food,FALSE,0.666666667,0.662162162,0.58,1.816419788,0.21745967,0.78254033,0.593617064
Glassine Paper,49.19,15.16,98,169,88,27.23,Food,FALSE,0.683333333,0.972972973,0.88,0.553567787,0.216133089,0.783866911,0.743025286
Recycled Paper,38.84,10.93,84,125,62,69.52,Food,FALSE,0.5,0.783783784,0.62,1.789907266,0.21743182,0.78256818,0.67977718
Palm Leaf,23.17,15,100,185,41,157.71,Food,FALSE,0.75,1,0.41,6.806646232,0.222701725,0.777298275,0.638824569
Paperboard,41.77,4.36,88,130,70,66.68,Food,FALSE,0.520833333,0.837837838,0.7,1.596360986,0.217228506,0.782771494,0.706835891
Recycled Paper,57.85,10.26,100,57,36,84.49,Food,FALSE,0.216666667,1,0.36,1.460501271,0.217085791,0.782914209,0.763561886
Mushroom Packaging,12.46,3.6,85,38,72,71.59,Food,FALSE,0.1375,0.797297297,0.72,5.745585414,0.221587119,0.778412881,0.79341741
Cornstarch Polymer,12.09,3.45,80,36,93,43.1,Food,FALSE,0.129166667,0.72972973,0.93,3.564929399,0.219296417,0.780703583,0.817803148
Cotton Padding,29.72,12.38,85,70,83,46.09,Food,FALSE,0.270833333,0.797297297,0.83,1.550807485,0.217180654,0.782819346,0.783185692
Seaweed-based,34.89,11.62,72,114,100,148.3,Food,FALSE,0.454166667,0.621621622,1,4.250501455,0.220016586,0.779983414,0.717940673
Corrugated Cardboard,44.53,6.87,90,60,72,44.96,Food,FALSE,0.229166667,0.864864865,0.72,1.009656389,0.216612194,0.783387806,0.792014744
PLA Bioplastic,20.95,11.31,74,111,59,113.25,Food,FALSE,0.441666667,0.648648649,0.59,5.405727666,0.22123011,0.77876989,0.6468704
Kraft Paper,36.74,15.55,70,178,68,65.25,Food,FALSE,0.720833333,0.594594595,0.68,1.775993419,0.217417204,0.782582796,0.579815744
Glassine Paper,35.14,6.13,100,115,56,112.14,Food,FALSE,0.458333333,1,0.56,3.191234969,0.218903865,0.781096135,0.742690701
PLA-coated Paper,46.06,12.8,72,108,100,26.67,Food,FALSE,0.429166667,0.621621622,1,0.579027343,0.216159834,0.783840166,0.725154861
Cotton Padding,21.39,3.76,83,81,79,78.77,Food,FALSE,0.316666667,0.77027027,0.79,3.682561773,0.219419986,0.780580014,0.755059418
Kraft Paper,56.91,6.8,87,103,86,59.56,Food,FALSE,0.408333333,0.824324324,0.86,1.046564733,0.216650965,0.783349035,0.763051223
Corrugated Cardboard,33.61,16.69,98,166,48,91.88,Food,FALSE,0.670833333,0.972972973,0.48,2.733710124,0.218423251,0.781576749,0.665577746
Mushroom Packaging,22.04,6.99,84,69,73,117.3,Food,FALSE,0.266666667,0.783783784,0.73,5.322141319,0.221142306,0.778857694,0.759182892
Starch Foam,29.77,8.79,82,121,72,123.37,Food,FALSE,0.483333333,0.756756757,0.72,4.144104664,0.21990482,0.78009518,0.695217489
Jute Fiber,39.2,15.55,74,69,66,60.91,Food,FALSE,0.266666667,0.648648649,0.66,1.553826491,0.217183825,0.782816175,0.705631972
Starch Foam,21.63,9.45,70,178,70,50.32,Food,FALSE,0.720833333,0.594594595,0.7,2.326398413,0.217995385,0.782004615,0.583671199
Cornstarch Polymer,19.61,17.11,73,68,68,20.11,Food,FALSE,0.2625,0.635135135,0.68,1.025497143,0.216628834,0.783371166,0.706758332
Mushroom Packaging,18.85,17.59,81,135,69,45.96,Food,FALSE,0.541666667,0.743243243,0.69,2.438196157,0.218112824,0.781887176,0.6710281
Cotton Padding,26.32,0.67,66,160,42,45.02,Food,FALSE,0.645833333,0.540540541,0.42,1.710486257,0.217348391,0.782651609,0.530366731
Glassine Paper,37.47,8.41,100,111,45,140.92,Food,FALSE,0.441666667,1,0.45,3.760875267,0.219502251,0.780497749,0.72470777
Seaweed-based,12.23,4.73,54,76,69,95.47,Food,FALSE,0.295833333,0.378378378,0.69,7.806213589,0.223751735,0.776248265,0.621617246
Glassine Paper,34.3,5.1,84,63,97,71.61,Food,FALSE,0.241666667,0.783783784,0.97,2.087755041,0.217744698,0.782255302,0.814282294
Mushroom Packaging,19.89,9.82,63,143,80,63.35,Food,FALSE,0.575,0.5,0.8,3.185017437,0.218897333,0.781102667,0.611525667
Recycled Paper,27.18,9.82,71,10,98,61.98,Food,FALSE,0.020833333,0.608108108,0.98,2.280353117,0.217947016,0.782052984,0.818737345
Hemp Fiber,63.81,7.76,82,93,52,94.93,Food,FALSE,0.366666667,0.756756757,0.52,1.48769783,0.21711436,0.78288564,0.68508177
Cotton Padding,27.86,12.12,81,137,54,52.9,Food,FALSE,0.55,0.743243243,0.54,1.898779544,0.217546186,0.782453814,0.639086426
PLA Bioplastic,25.41,9.38,78,108,53,64.45,Food,FALSE,0.429166667,0.702702703,0.53,2.536402891,0.218215987,0.781784013,0.654965147
Jute Fiber,59.09,13.67,79,67,36,18.06,Food,FALSE,0.258333333,0.716216216,0.36,0.305635466,0.215872645,0.784127355,0.66831337
Wheat Straw,15.03,11.49,84,192,62,60.79,Food,FALSE,0.779166667,0.783783784,0.62,4.044577243,0.21980027,0.78019973,0.609393401
Seaweed-based,24.67,5.41,81,212,79,77.33,Food,FALSE,0.8625,0.743243243,0.79,3.134576282,0.218844347,0.781155653,0.610636886
Paperboard,36.67,6.64,100,110,68,6.29,Food,FALSE,0.4375,1,0.68,0.171529856,0.215731772,0.784268228,0.772692057
Bagasse (Sugarcane),17.2,0.21,77,78,100,54.44,Food,FALSE,0.304166667,0.689189189,1,3.165116095,0.218876428,0.781123572,0.775995983
Wheat Straw,30.52,9.82,66,79,72,87.77,Food,FALSE,0.308333333,0.540540541,0.72,2.875819041,0.218572531,0.781427469,0.674435696
Cornstarch Polymer,25.87,11.59,85,128,76,65.51,Food,FALSE,0.5125,0.797297297,0.76,2.532276671,0.218211652,0.781788348,0.708511276
PLA-coated Paper,48.15,20.5,78,94,48,115.12,Food,FALSE,0.370833333,0.702702703,0.48,2.39086184,0.218063101,0.781936899,0.659586702
Mushroom Packaging,39.94,9.3,73,145,95,84.89,Food,FALSE,0.583333333,0.635135135,0.95,2.125438104,0.217784283,0.782215717,0.680261136
Paperboard,36.85,10.99,88,130,62,61.99,Food,FALSE,0.520833333,0.837837838,0.62,1.682225192,0.217318704,0.782681296,0.690813342
Wheat Straw,26.17,13.1,79,104,72,46.32,Food,FALSE,0.4125,0.716216216,0.72,1.769965542,0.217410872,0.782589128,0.701387147
Seaweed-based,31.84,8.94,65,92,39,87.51,Food,FALSE,0.3625,0.527027027,0.39,2.748429562,0.218438713,0.781561287,0.59087343
Recycled Paper,25.82,9.66,64,116,69,52.48,Food,FALSE,0.4625,0.513513514,0.69,2.032532841,0.217686689,0.782313311,0.622007382
Kraft Paper,34.3,0.48,95,107,25,71.33,Food,FALSE,0.425,0.932432432,0.25,2.079591776,0.217736123,0.782263877,0.669045699
Glassine Paper,49.47,10.45,80,129,100,75.44,Food,FALSE,0.516666667,0.72972973,1,1.524964594,0.217153507,0.782846493,0.735463876
Hemp Fiber,49.66,0.02,85,175,85,114.56,Food,FALSE,0.708333333,0.797297297,0.85,2.306886784,0.217974888,0.782025112,0.677612134
Mushroom Packaging,26.2,5.84,52,173,75,85.65,Food,FALSE,0.7,0.351351351,0.75,3.269083845,0.218985642,0.781014358,0.525658995
Hemp Fiber,61.74,12.57,78,85,63,41.44,Food,FALSE,0.333333333,0.702702703,0.63,0.671201803,0.21625666,0.78374334,0.699413313
Cornstarch Polymer,29.5,9.76,91,86,88,84.09,Food,FALSE,0.3375,0.878378378,0.88,2.850508378,0.218545943,0.781454057,0.800502028
Cornstarch Polymer,17.56,9.3,82,137,63,71.78,Food,FALSE,0.55,0.756756757,0.63,4.087699084,0.219845568,0.780154432,0.660565635
Hemp Fiber,59.42,5.14,92,69,67,95.63,Food,FALSE,0.266666667,0.891891892,0.67,1.60939075,0.217242194,0.782757806,0.780590352
Recycled Paper,53.56,24.03,76,91,91,130.68,Food,FALSE,0.358333333,0.675675676,0.91,2.439880462,0.218114593,0.781885407,0.740590721
Glassine Paper,44.51,1.87,92,81,100,46.47,Food,FALSE,0.316666667,0.891891892,1,1.044035025,0.216648308,0.783351692,0.834238824
Mushroom Packaging,25.07,8.19,71,72,49,84.09,Food,FALSE,0.279166667,0.608108108,0.49,3.354208083,0.219075062,0.780924938,0.655872
PLA-coated Paper,41.25,13.06,83,78,66,65.09,Food,FALSE,0.304166667,0.77027027,0.66,1.577939356,0.217209155,0.782790845,0.732737126
PLA-coated Paper,25.74,8.46,70,72,55,34.5,Food,FALSE,0.279166667,0.594594595,0.55,1.340326288,0.216959551,0.783040449,0.664346824
HDPE (Recycled),41.71,5.51,95,53,96,116.49,Food,FALSE,0.2,0.932432432,0.96,2.792855363,0.218485381,0.781514619,0.867108384
Recycled Paper,40.04,17.34,81,53,84,82.33,Food,FALSE,0.2,0.743243243,0.84,2.056193755,0.217711544,0.782288456,0.786545087
Jute Fiber,54.32,6.87,99,77,89,19.44,Food,FALSE,0.3,0.986486486,0.89,0.357879228,0.215927525,0.784072475,0.844964065
Corrugated Cardboard,31.51,15.9,66,124,72,87.75,Food,FALSE,0.495833333,0.540540541,0.72,2.784830124,0.218476951,0.781523049,0.627584591
Cotton Padding,23.86,2.98,79,18,89,86.54,Food,FALSE,0.054166667,0.716216216,0.89,3.626990628,0.21936161,0.78063839,0.824482796
Cotton Padding,50.39,1.44,80,73,79,105.32,Food,FALSE,0.283333333,0.72972973,0.79,2.0900972,0.217747159,0.782252841,0.751648796
Kraft Paper,26.18,15.75,83,71,62,103.68,Food,FALSE,0.275,0.77027027,0.62,3.960274868,0.219711714,0.780288286,0.731403153
Recycled Paper,24.76,10.87,79,27,84,79.16,Food,FALSE,0.091666667,0.716216216,0.84,3.197091955,0.218910017,0.781089983,0.805220694
Starch Foam,19.82,15.4,68,51,87,137.59,Food,FALSE,0.191666667,0.567567568,0.87,6.94197745,0.222843886,0.777156114,0.740642632
Cornstarch Polymer,31.19,10.73,98,46,66,22.13,Food,FALSE,0.170833333,0.972972973,0.66,0.70952226,0.216296914,0.783703086,0.82710933
Recycled Paper,36.02,10.43,68,152,69,96.61,Food,FALSE,0.6125,0.567567568,0.69,2.682120969,0.218369058,0.781630942,0.600553006
Jute Fiber,62.2,8.39,83,5,49,67.2,Food,FALSE,0,0.77027027,0.49,1.080385835,0.216686493,0.783313507,0.774909458
PLA-coated Paper,29.46,1.28,95,110,81,71.87,Food,FALSE,0.4375,0.932432432,0.81,2.439579007,0.218114277,0.781885723,0.777826161
Glassine Paper,52.59,0.04,85,45,86,56.45,Food,FALSE,0.166666667,0.797297297,0.86,1.073397964,0.216679152,0.783320848,0.815352734
Cellulose Film,10.15,8.19,62,97,69,44.69,Food,FALSE,0.383333333,0.486486486,0.69,4.402955231,0.220176734,0.779823266,0.633068429
Cornstarch Polymer,12.51,7.99,52,5,100,117.41,Food,FALSE,0,0.351351351,1,9.385291016,0.2254105,0.7745895,0.749052781
Mushroom Packaging,21.79,15.48,64,46,84,33.65,Food,FALSE,0.170833333,0.513513514,0.84,1.544286299,0.217173804,0.782826196,0.72505227
Starch Foam,20.63,13.03,58,153,69,94.46,Food,FALSE,0.616666667,0.432432432,0.69,4.578768561,0.220361419,0.779638581,0.558472708
PLA Bioplastic,26.33,9.37,78,101,65,60.81,Food,FALSE,0.4,0.702702703,0.65,2.309532765,0.217977668,0.782022332,0.686316394
Hemp Fiber,57.42,8.14,87,186,64,99.39,Food,FALSE,0.754166667,0.824324324,0.64,1.730929959,0.217369866,0.782630134,0.632413164
Kraft Paper,42.64,10.87,69,139,65,79.46,Food,FALSE,0.558333333,0.581081081,0.65,1.863508399,0.217509135,0.782490865,0.610363707
Wheat Straw,34.3,9.82,88,84,64,117.75,Food,FALSE,0.329166667,0.837837838,0.64,3.432944506,0.219157772,0.780842228,0.742270242
Glassine Paper,40.64,8.7,100,105,56,38.45,Food,FALSE,0.416666667,1,0.56,0.946112181,0.216545443,0.783454557,0.753696973
Palm Leaf,23.14,11.47,94,109,65,10.59,Food,FALSE,0.433333333,0.918918919,0.65,0.457649073,0.21603233,0.78396767,0.74333426
Bamboo Fiber,50.17,7.96,71,145,70,109.72,Food,FALSE,0.583333333,0.608108108,0.7,2.186964278,0.217848914,0.782151086,0.622136871
Palm Leaf,34.3,9.46,77,108,52,73.46,Food,FALSE,0.429166667,0.689189189,0.52,2.1416909,0.217801356,0.782198644,0.649014751
Cellulose Film,0.13,7.19,86,144,60,97.08,Food,FALSE,0.579166667,0.810810811,0.6,746.7634864,1,0,0.468451577
Seaweed-based,25.02,10.3,93,159,59,59.09,Food,FALSE,0.641666667,0.905405405,0.59,2.361710537,0.218032479,0.781967521,0.674696835
Paperboard,50.04,13.83,62,33,74,86.44,Food,FALSE,0.116666667,0.486486486,0.74,1.727418031,0.217366177,0.782633823,0.710437735
Cornstarch Polymer,21.89,11.39,78,89,100,91.65,Food,FALSE,0.35,0.702702703,1,4.186843116,0.219949715,0.780050285,0.768323382
Paperboard,37.77,24.07,88,156,82,78.3,Food,FALSE,0.629166667,0.837837838,0.82,2.073073813,0.217729276,0.782270724,0.703627366
Bagasse (Sugarcane),36.33,17.98,93,22,70,78.58,Food,FALSE,0.070833333,0.905405405,0.7,2.16295067,0.217823689,0.782176311,0.839457366
PLA Bioplastic,17.56,11.04,70,119,54,59.3,Food,FALSE,0.475,0.594594595,0.54,3.376992974,0.219098997,0.780901003,0.612853629
Bamboo Fiber,50.77,5.73,76,152,83,51.26,Food,FALSE,0.6125,0.675675676,0.83,1.009651349,0.216612189,0.783387811,0.661424656
Cotton Padding,37.34,14.16,88,89,62,46.74,Food,FALSE,0.35,0.837837838,0.62,1.251740727,0.216866495,0.783133505,0.733634728
Bamboo Fiber,71.51,6.22,56,83,84,50.88,Food,FALSE,0.325,0.405405405,0.84,0.71150887,0.216299001,0.783700999,0.654296871
Cornstarch Polymer,19.33,9.83,79,10,44,47.15,Food,FALSE,0.020833333,0.716216216,0.44,2.439213531,0.218113893,0.781886107,0.743128058
Recycled Paper,32.56,7.87,100,134,53,57.2,Food,FALSE,0.5375,1,0.53,1.756756703,0.217396996,0.782603004,0.717275751
Starch Foam,24.46,6.65,75,70,74,79.17,Food,FALSE,0.270833333,0.662162162,0.74,3.236712868,0.218951637,0.781048363,0.724202406
Mushroom Packaging,34.91,9.85,66,146,33,112.44,Food,FALSE,0.5875,0.540540541,0.33,3.220853531,0.218934978,0.781065022,0.526553418
Wheat Straw,24.45,9.44,85,133,77,83.87,Food,FALSE,0.533333333,0.797297297,0.77,3.430265708,0.219154958,0.780845042,0.705067116
Cellulose Film,29.96,9.6,79,89,97,51.58,Food,FALSE,0.35,0.716216216,0.97,1.721628781,0.217360096,0.782639904,0.767024841
Cornstarch Polymer,23.66,5.69,59,100,75,96.94,Food,FALSE,0.395833333,0.445945946,0.75,4.097210309,0.219855559,0.780144441,0.629861561
Paperboard,46.98,3.94,100,79,59,31.35,Food,FALSE,0.308333333,1,0.59,0.667305222,0.216252566,0.783747434,0.786853525
Mushroom Packaging,23.13,4.94,84,87,81,59.86,Food,FALSE,0.341666667,0.783783784,0.81,2.587980865,0.218270168,0.781729832,0.757150927
Recycled Paper,35.17,6.63,81,70,88,7.93,Food,FALSE,0.270833333,0.743243243,0.88,0.225476252,0.215788441,0.784211559,0.777317529
Bagasse (Sugarcane),17.31,17.23,90,71,57,104.23,Food,FALSE,0.275,0.864864865,0.57,6.02137458,0.221876825,0.778123175,0.749240253
