Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Edible Seaweed Film,7.3,8.2,100.0,0.4,1.5,4,Consider as Option,116.6
Recycled Cardboard,26.2,4.4,97.7,0.87,85.9,3,Highly Recommended,111.4
Bamboo Fiber,47.7,1.7,96.0,1.15,42.7,7,Highly Recommended,147.4
Mushroom Mycelium,24.1,7.7,100.0,0.17,100.0,6,Highly Recommended,155.2
Recycled Cardboard,32.6,2.0,92.2,1.16,81.9,5,Highly Recommended,110.2
Recycled Cardboard,31.2,5.7,95.6,1.17,86.1,4,Highly Recommended,139.4
Recycled Cardboard,33.0,9.4,98.3,0.87,90.3,4,Highly Recommended,180.0
Bioplastic (PLA),59.5,8.6,89.6,1.7,44.8,9,Highly Recommended,250.0
Bagasse (Sugarcane),24.3,9.3,97.7,1.08,66.9,7,Highly Recommended,176.6
Virgin Plastic (PP),69.9,5.8,5.0,5.54,28.8,10,Avoid,247.8
Bamboo Fiber,58.5,2.7,98.4,1.12,45.6,8,Highly Recommended,184.0
Bagasse (Sugarcane),30.0,6.1,99.4,1.04,59.6,6,Highly Recommended,151.0
Virgin Plastic (PP),88.7,9.4,1.7,4.35,16.7,10,Avoid,321.4
Bamboo Fiber,51.5,7.2,97.4,1.07,42.7,8,Highly Recommended,215.0
Virgin Plastic (PP),73.5,1.2,1.6,4.01,16.9,10,Avoid,209.0
Recycled Cardboard,20.8,4.3,96.7,0.94,97.6,5,Highly Recommended,109.6
Edible Seaweed Film,12.3,3.6,100.0,0.4,5.7,2,Consider as Option,70.6
Bioplastic (PLA),64.1,9.0,85.6,2.17,46.0,8,Consider as Option,258.2
Bagasse (Sugarcane),28.2,6.0,98.5,1.36,63.8,5,Highly Recommended,141.4
Recycled Cardboard,25.2,0.6,94.1,1.22,84.8,4,Highly Recommended,76.4
Bioplastic (PLA),65.2,1.5,87.8,2.19,50.1,8,Highly Recommended,185.4
Bamboo Fiber,40.2,4.7,97.9,0.5,39.0,8,Highly Recommended,167.4
Aluminum Foil,42.3,9.4,0.0,11.32,91.3,10,Avoid,228.6
Bagasse (Sugarcane),35.3,7.8,98.8,1.29,67.0,5,Highly Recommended,173.6
Bagasse (Sugarcane),30.7,2.0,98.4,1.37,59.8,7,Highly Recommended,116.4
Bamboo Fiber,42.6,6.3,99.2,0.89,43.2,8,Highly Recommended,188.2
Virgin Plastic (PP),65.1,7.2,4.6,4.58,14.5,10,Avoid,252.2
Recycled Cardboard,22.8,8.3,98.9,1.33,85.4,5,Highly Recommended,153.6
Bagasse (Sugarcane),22.5,8.4,97.7,1.02,53.9,6,Highly Recommended,159.0
Bioplastic (PLA),68.4,5.0,86.8,1.5,45.0,9,Highly Recommended,231.8
Bamboo Fiber,56.9,8.8,99.5,0.76,41.5,8,Highly Recommended,241.8
Edible Seaweed Film,10.2,9.2,100.0,0.53,1.2,2,Consider as Option,122.4
Virgin Plastic (PP),66.9,3.9,1.6,3.86,28.2,10,Avoid,222.8
Edible Seaweed Film,8.7,4.0,100.0,0.29,3.1,4,Consider as Option,77.4
Virgin Plastic (PP),78.9,6.1,1.6,4.61,13.2,10,Avoid,268.8
Bagasse (Sugarcane),26.3,7.9,98.8,0.91,53.1,5,Highly Recommended,156.6
Virgin Plastic (PP),81.7,3.9,4.0,5.03,23.8,10,Avoid,252.4
Edible Seaweed Film,8.9,2.5,100.0,0.31,3.2,2,Consider as Option,52.8
Virgin Plastic (PP),81.3,8.7,1.4,4.26,20.8,10,Avoid,299.6
Bamboo Fiber,58.8,9.1,95.9,0.82,33.8,8,Highly Recommended,248.6
Mushroom Mycelium,11.5,7.2,100.0,0.33,100.0,5,Highly Recommended,120.0
Mushroom Mycelium,19.7,3.8,100.0,0.35,100.0,4,Highly Recommended,97.4
Virgin Plastic (PP),86.3,7.3,4.6,5.09,28.4,10,Avoid,295.6
Aluminum Foil,40.5,4.8,0.0,8.56,94.5,10,Avoid,179.0
Aluminum Foil,43.2,7.9,0.0,9.52,93.1,10,Avoid,215.4
Aluminum Foil,39.8,6.0,0.0,10.04,90.2,10,Avoid,189.6
Mushroom Mycelium,15.0,0.7,100.0,0.18,100.0,6,Highly Recommended,67.0
Bioplastic (PLA),52.2,4.6,83.0,1.87,52.6,9,Highly Recommended,195.4
Bamboo Fiber,40.2,9.5,99.3,1.11,46.0,6,Highly Recommended,205.4
Mushroom Mycelium,15.9,9.4,100.0,0.39,100.0,6,Highly Recommended,155.8
Bioplastic (PLA),66.1,4.2,88.4,1.98,52.2,9,Highly Recommended,219.2
Bamboo Fiber,51.8,2.3,97.8,0.91,34.3,8,Highly Recommended,166.6
Edible Seaweed Film,9.3,3.8,100.0,0.3,4.7,2,Consider as Option,66.6
Mushroom Mycelium,22.3,8.0,100.0,0.37,100.0,5,Highly Recommended,149.6
Bamboo Fiber,47.9,1.5,98.1,1.1,30.3,8,Highly Recommended,150.8
Recycled Cardboard,28.9,0.6,99.0,1.02,98.1,4,Highly Recommended,83.8
Bamboo Fiber,56.6,5.6,96.0,0.77,46.6,7,Highly Recommended,204.2
Bagasse (Sugarcane),35.8,8.6,95.7,1.31,50.2,5,Highly Recommended,182.6
Recycled Cardboard,27.0,1.5,97.0,1.07,81.2,4,Highly Recommended,89.0
Aluminum Foil,29.3,7.3,0.0,8.92,90.5,10,Avoid,181.6
Bagasse (Sugarcane),39.6,2.0,99.9,1.15,52.5,7,Highly Recommended,134.2
Mushroom Mycelium,16.9,1.7,100.0,0.27,100.0,6,Highly Recommended,80.8
Mushroom Mycelium,23.1,7.4,100.0,0.23,100.0,4,Highly Recommended,140.2
Bamboo Fiber,50.8,4.4,97.0,0.79,35.6,7,Highly Recommended,180.6
Recycled Cardboard,22.3,1.8,97.5,1.12,82.9,4,Highly Recommended,82.6
Virgin Plastic (PP),80.3,8.7,2.4,5.27,22.9,10,Avoid,297.6
Bioplastic (PLA),65.2,1.9,87.1,2.34,59.9,8,Highly Recommended,189.4
Recycled Cardboard,28.9,2.8,99.4,1.25,81.5,5,Highly Recommended,110.8
Virgin Plastic (PP),73.0,10.0,2.3,4.85,26.0,10,Avoid,296.0
Bioplastic (PLA),50.3,8.4,86.2,1.79,57.3,9,Highly Recommended,229.6
Bagasse (Sugarcane),30.8,4.1,99.4,1.05,61.7,5,Highly Recommended,127.6
Virgin Plastic (PP),68.1,5.5,3.1,5.87,25.3,10,Avoid,241.2
Edible Seaweed Film,5.4,7.3,100.0,0.31,1.8,3,Consider as Option,98.8
Bamboo Fiber,57.4,1.7,96.0,1.18,49.4,6,Highly Recommended,161.8
Bioplastic (PLA),69.1,4.9,91.9,1.64,53.8,8,Highly Recommended,227.2
Virgin Plastic (PP),81.4,8.5,4.5,4.87,14.8,10,Avoid,297.8
Edible Seaweed Film,7.7,9.5,100.0,0.55,6.3,4,Consider as Option,130.4
Recycled Cardboard,30.3,7.6,98.4,1.04,86.8,5,Highly Recommended,161.6
Aluminum Foil,42.7,9.9,0.0,9.08,92.2,10,Avoid,234.4
Edible Seaweed Film,12.4,6.0,100.0,0.58,6.5,2,Consider as Option,94.8
Virgin Plastic (PP),78.2,9.5,3.9,4.88,10.2,10,Avoid,301.4
Mushroom Mycelium,11.4,4.8,100.0,0.36,100.0,4,Highly Recommended,90.8
Aluminum Foil,22.4,8.8,0.0,8.51,99.1,10,Avoid,182.8
Bioplastic (PLA),50.8,6.5,82.2,1.52,43.5,9,Highly Recommended,211.6
Edible Seaweed Film,9.6,5.3,100.0,0.28,9.8,4,Consider as Option,92.2
Mushroom Mycelium,19.9,1.8,100.0,0.39,100.0,4,Highly Recommended,77.8
Bamboo Fiber,44.1,10.0,98.5,0.99,38.5,6,Highly Recommended,218.2
Recycled Cardboard,29.6,8.1,95.2,1.25,84.4,3,Highly Recommended,155.2
Recycled Cardboard,28.2,1.5,94.4,1.04,91.4,4,Highly Recommended,91.4
Bagasse (Sugarcane),31.2,2.5,99.2,1.07,64.2,6,Highly Recommended,117.4
Virgin Plastic (PP),84.9,3.5,4.3,4.21,10.9,10,Avoid,254.8
Bagasse (Sugarcane),27.3,7.5,99.3,1.39,65.3,6,Highly Recommended,159.6
Edible Seaweed Film,14.0,9.5,100.0,0.25,6.3,4,Consider as Option,143.0
Aluminum Foil,28.1,2.3,0.0,8.3,91.0,10,Avoid,129.2
Bagasse (Sugarcane),38.7,6.1,96.3,1.35,60.9,6,Highly Recommended,168.4
Mushroom Mycelium,13.5,2.8,100.0,0.37,100.0,4,Highly Recommended,75.0
Bioplastic (PLA),60.9,2.5,88.1,2.16,44.1,8,Consider as Option,186.8
Recycled Cardboard,30.0,2.4,91.4,0.94,85.7,5,Highly Recommended,109.0
Mushroom Mycelium,16.8,1.8,100.0,0.19,100.0,5,Highly Recommended,76.6
Bioplastic (PLA),67.1,8.7,84.6,1.52,42.4,9,Highly Recommended,266.2
Aluminum Foil,35.0,0.8,0.0,8.75,95.0,10,Avoid,128.0
Aluminum Foil,38.0,3.0,0.0,10.46,95.6,10,Avoid,156.0
Mushroom Mycelium,20.7,5.1,100.0,0.13,100.0,5,Highly Recommended,117.4
Aluminum Foil,28.5,5.1,0.0,8.68,94.2,10,Avoid,158.0
Aluminum Foil,20.6,8.8,0.0,11.31,99.5,10,Avoid,179.2
Mushroom Mycelium,22.4,0.6,100.0,0.18,100.0,6,Highly Recommended,80.8
Recycled Cardboard,31.0,4.6,97.6,1.23,91.8,3,Highly Recommended,123.0
Virgin Plastic (PP),76.6,8.3,2.0,5.36,15.5,10,Avoid,286.2
Bioplastic (PLA),71.1,3.2,86.3,2.05,40.6,8,Consider as Option,214.2
Edible Seaweed Film,11.8,1.6,100.0,0.38,1.9,3,Consider as Option,54.6
Bagasse (Sugarcane),30.4,4.0,95.7,1.03,62.4,5,Highly Recommended,125.8
Aluminum Foil,41.7,8.6,0.0,11.5,91.1,10,Avoid,219.4
Aluminum Foil,38.3,3.3,0.0,8.83,97.4,10,Avoid,159.6
Bamboo Fiber,51.7,6.4,96.3,0.9,43.6,8,Highly Recommended,207.4
Bagasse (Sugarcane),24.7,3.7,98.9,1.03,59.1,6,Highly Recommended,116.4
Bamboo Fiber,44.0,3.3,98.9,0.65,45.8,6,Highly Recommended,151.0
Mushroom Mycelium,13.4,8.6,100.0,0.13,100.0,5,Highly Recommended,137.8
Virgin Plastic (PP),69.3,2.1,0.4,5.38,15.1,10,Avoid,209.6
Virgin Plastic (PP),68.4,1.3,4.6,4.58,24.6,10,Avoid,199.8
Virgin Plastic (PP),79.6,7.5,3.2,5.82,14.1,10,Avoid,284.2
Aluminum Foil,42.2,3.0,0.0,11.36,90.7,10,Avoid,164.4
Virgin Plastic (PP),71.3,2.2,4.6,5.55,14.6,10,Avoid,214.6
Aluminum Foil,27.5,7.5,0.0,9.52,95.5,10,Avoid,180.0
Mushroom Mycelium,24.1,3.7,100.0,0.36,100.0,6,Highly Recommended,115.2
Recycled Cardboard,34.3,7.9,96.0,1.06,88.2,5,Highly Recommended,172.6
Bamboo Fiber,52.2,2.1,98.0,0.96,39.9,8,Highly Recommended,165.4
Recycled Cardboard,20.9,9.5,93.4,1.16,90.7,5,Highly Recommended,161.8
Virgin Plastic (PP),60.2,3.5,1.1,3.63,21.8,10,Avoid,205.4
Edible Seaweed Film,14.1,3.4,100.0,0.52,9.9,4,Consider as Option,82.2
Virgin Plastic (PP),79.6,6.4,1.3,3.84,28.8,10,Avoid,273.2
Mushroom Mycelium,14.9,1.2,100.0,0.26,100.0,6,Highly Recommended,71.8
Recycled Cardboard,25.7,2.2,95.5,1.13,94.2,4,Highly Recommended,93.4
Edible Seaweed Film,12.3,7.0,100.0,0.33,0.9,4,Consider as Option,114.6
Edible Seaweed Film,10.4,6.1,100.0,0.43,8.8,2,Consider as Option,91.8
Bamboo Fiber,44.2,2.1,97.5,0.69,33.2,6,Highly Recommended,139.4
Bagasse (Sugarcane),23.6,5.9,95.2,1.37,68.6,5,Highly Recommended,131.2
Bagasse (Sugarcane),34.5,7.3,97.8,1.39,50.7,5,Highly Recommended,167.0
Bamboo Fiber,49.3,3.7,97.9,0.88,49.5,7,Highly Recommended,170.6
Edible Seaweed Film,12.8,3.1,100.0,0.3,6.4,2,Consider as Option,66.6
Mushroom Mycelium,11.8,3.1,100.0,0.16,100.0,6,Highly Recommended,84.6
Virgin Plastic (PP),60.6,4.0,2.0,4.46,16.2,10,Avoid,211.2
Bagasse (Sugarcane),39.3,4.1,98.2,1.09,67.0,5,Highly Recommended,144.6
Virgin Plastic (PP),88.5,6.8,4.3,4.53,25.1,10,Avoid,295.0
Edible Seaweed Film,13.5,7.4,100.0,0.32,3.4,2,Consider as Option,111.0
Bamboo Fiber,53.2,3.2,95.9,0.55,35.0,7,Highly Recommended,173.4
Bagasse (Sugarcane),27.8,0.5,96.9,0.91,60.1,6,Highly Recommended,90.6
Virgin Plastic (PP),75.1,9.1,3.1,5.56,26.3,10,Avoid,291.2
Bioplastic (PLA),70.6,4.0,88.9,1.53,51.5,8,Highly Recommended,221.2
Virgin Plastic (PP),76.8,0.6,4.0,5.85,16.6,10,Avoid,209.6
Bamboo Fiber,50.1,4.5,96.9,1.05,46.8,6,Highly Recommended,175.2
Recycled Cardboard,16.9,9.5,99.6,1.44,99.2,3,Highly Recommended,143.8
Edible Seaweed Film,6.4,2.9,100.0,0.36,3.2,3,Consider as Option,56.8
Bioplastic (PLA),65.0,9.4,83.4,1.64,40.5,8,Consider as Option,264.0
Mushroom Mycelium,21.4,4.0,100.0,0.15,100.0,5,Highly Recommended,107.8
Bamboo Fiber,58.7,5.5,96.5,1.07,47.4,8,Highly Recommended,212.4
Mushroom Mycelium,12.8,7.8,100.0,0.13,100.0,6,Highly Recommended,133.6
Edible Seaweed Film,10.1,2.7,100.0,0.24,2.6,4,Consider as Option,67.2
Bagasse (Sugarcane),25.0,5.9,98.3,1.23,56.6,6,Highly Recommended,139.0
Mushroom Mycelium,23.1,6.2,100.0,0.21,100.0,4,Highly Recommended,128.2
Bamboo Fiber,45.0,3.1,99.3,0.93,44.1,8,Highly Recommended,161.0
Recycled Cardboard,18.8,7.3,93.0,1.47,89.4,5,Highly Recommended,135.6
Virgin Plastic (PP),79.3,2.4,2.4,4.86,13.7,10,Avoid,232.6
Bamboo Fiber,45.7,9.8,95.8,0.96,44.9,7,Highly Recommended,224.4
Edible Seaweed Film,11.8,2.1,100.0,0.33,2.0,2,Consider as Option,54.6
Recycled Cardboard,34.5,3.7,97.7,1.36,82.0,4,Highly Recommended,126.0
Bagasse (Sugarcane),25.5,0.6,95.9,1.18,52.7,6,Highly Recommended,87.0
Mushroom Mycelium,17.9,3.2,100.0,0.26,100.0,5,Highly Recommended,92.8
Bagasse (Sugarcane),34.9,7.0,99.0,1.38,52.0,7,Highly Recommended,174.8
Aluminum Foil,42.5,1.7,0.0,8.26,93.7,10,Avoid,152.0
Aluminum Foil,22.2,2.7,0.0,8.1,93.1,10,Avoid,121.4
Aluminum Foil,31.9,7.8,0.0,8.43,97.5,10,Avoid,191.8
Aluminum Foil,37.9,7.1,0.0,11.68,94.3,10,Avoid,196.8
Bioplastic (PLA),68.8,3.7,92.6,2.12,54.4,8,Highly Recommended,214.6
Virgin Plastic (PP),67.2,0.8,1.8,5.31,11.8,10,Avoid,192.4
Bamboo Fiber,53.4,8.7,96.3,1.08,32.1,8,Highly Recommended,233.8
Bamboo Fiber,58.4,5.7,99.4,1.01,33.7,8,Highly Recommended,213.8
Edible Seaweed Film,6.1,1.7,100.0,0.58,1.4,3,Consider as Option,44.2
Recycled Cardboard,28.3,1.9,93.5,1.27,85.7,3,Highly Recommended,90.6
Mushroom Mycelium,21.6,2.1,100.0,0.33,100.0,4,Highly Recommended,84.2
Mushroom Mycelium,20.7,1.3,100.0,0.12,100.0,5,Highly Recommended,79.4
Recycled Cardboard,15.5,9.0,98.6,0.9,91.9,4,Highly Recommended,141.0
Virgin Plastic (PP),88.0,5.6,0.8,3.86,27.9,10,Avoid,282.0
Bamboo Fiber,54.5,5.2,96.2,0.65,47.2,8,Highly Recommended,201.0
Bagasse (Sugarcane),31.2,1.0,99.9,1.38,53.8,6,Highly Recommended,102.4
Recycled Cardboard,20.9,3.8,92.7,1.34,94.1,5,Highly Recommended,104.8
Aluminum Foil,36.1,5.9,0.0,8.71,94.8,10,Avoid,181.2
Mushroom Mycelium,10.4,8.3,100.0,0.32,100.0,4,Highly Recommended,123.8
Bioplastic (PLA),50.8,4.0,89.8,2.02,45.8,8,Highly Recommended,181.6
Aluminum Foil,24.7,6.0,0.0,9.31,98.5,10,Avoid,159.4
Bioplastic (PLA),54.0,8.9,88.4,2.17,55.2,9,Highly Recommended,242.0
Aluminum Foil,32.4,6.7,0.0,11.42,90.5,10,Avoid,181.8
Bioplastic (PLA),60.4,3.9,88.7,2.42,58.2,9,Highly Recommended,204.8
Aluminum Foil,41.4,4.0,0.0,10.98,92.1,10,Avoid,172.8
Bioplastic (PLA),67.9,2.3,86.8,1.71,49.2,9,Highly Recommended,203.8
Mushroom Mycelium,18.3,4.5,100.0,0.37,100.0,6,Highly Recommended,111.6
Bamboo Fiber,50.7,6.6,98.8,0.54,30.5,7,Highly Recommended,202.4
Bioplastic (PLA),74.0,8.0,93.2,2.01,56.6,8,Highly Recommended,268.0
Bamboo Fiber,52.1,4.9,95.0,0.79,35.3,6,Highly Recommended,183.2
Recycled Cardboard,18.3,9.2,93.4,0.87,97.4,5,Highly Recommended,153.6
Virgin Plastic (PP),85.5,6.5,0.1,5.98,11.4,10,Avoid,286.0
Edible Seaweed Film,10.3,8.4,100.0,0.35,0.5,2,Consider as Option,114.6
Bagasse (Sugarcane),23.3,9.4,99.8,1.4,65.9,7,Highly Recommended,175.6
Recycled Cardboard,26.6,5.6,94.6,1.29,88.2,4,Highly Recommended,129.2
Mushroom Mycelium,18.5,6.2,100.0,0.26,100.0,6,Highly Recommended,129.0
Recycled Cardboard,22.4,3.3,95.3,1.23,95.2,5,Highly Recommended,102.8
Bioplastic (PLA),68.7,4.2,90.1,2.0,55.1,9,Highly Recommended,224.4
Mushroom Mycelium,13.1,4.9,100.0,0.36,100.0,4,Highly Recommended,95.2
Bamboo Fiber,43.1,8.4,95.1,1.1,49.0,6,Highly Recommended,200.2
Mushroom Mycelium,17.9,5.9,100.0,0.3,100.0,4,Highly Recommended,114.8
Bioplastic (PLA),73.5,2.6,82.3,2.46,56.5,8,Consider as Option,213.0
Bamboo Fiber,53.3,7.1,97.4,0.65,46.5,7,Highly Recommended,212.6
Bamboo Fiber,45.7,7.7,98.8,0.82,32.7,7,Highly Recommended,203.4
Recycled Cardboard,34.0,5.8,97.9,1.41,99.9,4,Highly Recommended,146.0
Bioplastic (PLA),53.9,10.0,86.0,1.5,45.3,9,Highly Recommended,252.8
Bagasse (Sugarcane),24.0,8.9,99.2,1.13,51.9,7,Highly Recommended,172.0
Virgin Plastic (PP),81.9,1.4,0.2,4.08,16.5,10,Avoid,227.8
Aluminum Foil,37.9,3.4,0.0,10.97,93.6,10,Avoid,159.8
Bamboo Fiber,50.7,8.6,95.2,1.08,38.8,8,Highly Recommended,227.4
Mushroom Mycelium,11.7,8.2,100.0,0.35,100.0,4,Highly Recommended,125.4
Edible Seaweed Film,9.5,8.9,100.0,0.5,7.0,2,Consider as Option,118.0
Recycled Cardboard,28.3,4.8,95.1,0.86,98.8,3,Highly Recommended,119.6
Aluminum Foil,27.3,1.7,0.0,10.44,96.9,10,Avoid,121.6
Bioplastic (PLA),55.3,1.3,90.4,1.55,55.0,9,Highly Recommended,168.6
Bioplastic (PLA),74.9,0.9,83.2,1.98,44.9,8,Consider as Option,198.8
Mushroom Mycelium,22.1,6.6,100.0,0.13,100.0,5,Highly Recommended,135.2
Mushroom Mycelium,21.7,1.4,100.0,0.22,100.0,6,Highly Recommended,87.4
Edible Seaweed Film,14.6,7.7,100.0,0.52,4.9,4,Consider as Option,126.2
Recycled Cardboard,24.2,3.7,91.7,1.08,89.5,5,Highly Recommended,110.4
Recycled Cardboard,32.0,3.9,90.4,1.48,84.1,3,Highly Recommended,118.0
Edible Seaweed Film,13.8,3.2,100.0,0.54,0.9,4,Consider as Option,79.6
Aluminum Foil,40.0,6.2,0.0,8.62,92.0,10,Avoid,192.0
Virgin Plastic (PP),72.4,7.4,2.5,4.07,10.6,10,Avoid,268.8
Bamboo Fiber,56.6,4.9,97.1,1.18,33.6,8,Highly Recommended,202.2
Mushroom Mycelium,15.5,4.7,100.0,0.28,100.0,4,Highly Recommended,98.0
Mushroom Mycelium,11.9,9.6,100.0,0.39,100.0,6,Highly Recommended,149.8
Bagasse (Sugarcane),24.2,4.7,97.2,1.0,58.3,7,Highly Recommended,130.4
Virgin Plastic (PP),81.9,5.1,2.6,4.75,12.8,10,Avoid,264.8
Bamboo Fiber,50.7,9.3,95.3,1.18,30.2,8,Highly Recommended,234.4
Bioplastic (PLA),63.7,7.7,87.4,1.68,54.6,8,Highly Recommended,244.4
Bamboo Fiber,53.2,6.6,95.3,0.8,40.4,8,Highly Recommended,212.4
Aluminum Foil,37.7,1.3,0.0,8.72,95.2,10,Avoid,138.4
Bamboo Fiber,57.2,5.3,96.7,0.92,48.9,6,Highly Recommended,197.4
Bioplastic (PLA),67.6,0.7,84.3,2.45,45.2,8,Consider as Option,182.2
Bioplastic (PLA),69.5,8.0,92.0,2.25,47.6,9,Highly Recommended,264.0
Aluminum Foil,22.3,9.7,0.0,9.75,94.3,10,Avoid,191.6
Recycled Cardboard,25.6,2.4,93.8,0.87,97.4,3,Highly Recommended,90.2
Aluminum Foil,20.7,7.4,0.0,9.68,93.5,10,Avoid,165.4
Bamboo Fiber,50.5,7.2,95.3,0.95,49.0,7,Highly Recommended,208.0
Edible Seaweed Film,8.5,1.2,100.0,0.44,2.1,4,Consider as Option,49.0
Bagasse (Sugarcane),36.4,6.9,98.4,1.07,56.8,6,Highly Recommended,171.8
Mushroom Mycelium,18.4,4.3,100.0,0.25,100.0,6,Highly Recommended,109.8
Edible Seaweed Film,14.8,2.4,100.0,0.47,2.1,2,Consider as Option,63.6
Recycled Cardboard,15.7,8.6,97.3,1.03,91.0,5,Highly Recommended,142.4
Mushroom Mycelium,11.2,2.6,100.0,0.2,100.0,6,Highly Recommended,78.4
Mushroom Mycelium,22.4,6.4,100.0,0.22,100.0,4,Highly Recommended,128.8
Mushroom Mycelium,19.3,5.0,100.0,0.32,100.0,6,Highly Recommended,118.6
Bamboo Fiber,49.0,3.1,98.2,1.06,36.3,7,Highly Recommended,164.0
Bioplastic (PLA),63.4,10.0,86.9,2.03,49.4,8,Highly Recommended,266.8
Mushroom Mycelium,18.0,0.8,100.0,0.29,100.0,6,Highly Recommended,74.0
Bioplastic (PLA),64.3,5.0,91.4,1.8,48.0,9,Highly Recommended,223.6
Bagasse (Sugarcane),36.6,3.4,98.6,1.06,56.5,6,Highly Recommended,137.2
Bamboo Fiber,57.7,7.3,97.9,0.83,47.8,6,Highly Recommended,218.4
Recycled Cardboard,34.5,6.3,91.5,1.32,91.6,4,Highly Recommended,152.0
Mushroom Mycelium,13.2,4.5,100.0,0.39,100.0,5,Highly Recommended,96.4
Bioplastic (PLA),66.0,2.1,92.5,2.1,50.5,9,Highly Recommended,198.0
Bamboo Fiber,53.3,2.4,96.6,1.16,46.7,8,Highly Recommended,170.6
Recycled Cardboard,32.8,8.2,99.9,1.1,85.3,3,Highly Recommended,162.6
Recycled Cardboard,20.7,6.1,91.7,0.94,99.1,5,Highly Recommended,127.4
Bamboo Fiber,49.5,3.0,95.5,1.1,35.1,8,Highly Recommended,169.0
Edible Seaweed Film,12.8,4.2,100.0,0.58,2.2,4,Consider as Option,87.6
Bioplastic (PLA),54.6,3.7,92.9,2.18,52.0,8,Highly Recommended,186.2
Edible Seaweed Film,12.6,9.3,100.0,0.41,9.1,2,Consider as Option,128.2
Bamboo Fiber,49.8,9.4,98.8,0.73,49.2,7,Highly Recommended,228.6
Edible Seaweed Film,11.5,9.3,100.0,0.36,7.3,3,Consider as Option,131.0
Mushroom Mycelium,21.5,5.2,100.0,0.31,100.0,5,Highly Recommended,120.0
Mushroom Mycelium,16.2,4.0,100.0,0.18,100.0,6,Highly Recommended,102.4
Recycled Cardboard,20.5,7.4,94.5,1.23,96.9,3,Highly Recommended,130.0
Aluminum Foil,28.2,9.5,0.0,8.7,96.8,10,Avoid,201.4
Virgin Plastic (PP),67.7,3.6,1.1,5.53,13.0,10,Avoid,221.4
Edible Seaweed Film,14.0,3.9,100.0,0.55,7.2,3,Consider as Option,82.0
Mushroom Mycelium,17.7,3.7,100.0,0.18,100.0,6,Highly Recommended,102.4
Virgin Plastic (PP),88.7,0.7,0.4,5.61,21.2,10,Avoid,234.4
Bamboo Fiber,46.4,8.3,98.6,0.89,30.7,7,Highly Recommended,210.8
Bagasse (Sugarcane),33.4,8.4,98.6,1.18,52.0,5,Highly Recommended,175.8
Recycled Cardboard,27.5,2.3,90.1,1.08,83.2,5,Highly Recommended,103.0
Bamboo Fiber,41.9,9.8,97.2,0.79,34.6,8,Highly Recommended,221.8
Bamboo Fiber,48.6,3.2,96.8,0.63,36.2,6,Highly Recommended,159.2
Bioplastic (PLA),71.0,9.6,91.0,1.96,59.0,9,Highly Recommended,283.0
Edible Seaweed Film,7.3,7.9,100.0,0.51,2.3,4,Consider as Option,113.6
Edible Seaweed Film,10.9,5.7,100.0,0.29,5.2,3,Consider as Option,93.8
Bamboo Fiber,49.7,8.2,98.7,0.65,36.4,8,Highly Recommended,221.4
Bamboo Fiber,52.4,2.6,98.1,1.15,34.8,8,Highly Recommended,170.8
Bagasse (Sugarcane),32.0,3.3,99.1,1.27,51.1,6,Highly Recommended,127.0
Bamboo Fiber,51.2,3.1,99.0,0.75,36.1,8,Highly Recommended,173.4
Bamboo Fiber,54.6,3.9,97.7,0.61,31.7,8,Highly Recommended,188.2
Mushroom Mycelium,10.9,6.7,100.0,0.12,100.0,5,Highly Recommended,113.8
Recycled Cardboard,34.5,6.2,98.4,1.19,93.3,4,Highly Recommended,151.0
Bagasse (Sugarcane),21.0,5.1,99.2,1.17,58.7,5,Highly Recommended,118.0
Bagasse (Sugarcane),38.2,3.3,99.7,1.22,66.4,5,Highly Recommended,134.4
Mushroom Mycelium,24.2,6.5,100.0,0.37,100.0,5,Highly Recommended,138.4
Bioplastic (PLA),63.7,7.9,89.5,1.63,58.9,8,Highly Recommended,246.4
Mushroom Mycelium,19.1,7.1,100.0,0.39,100.0,6,Highly Recommended,139.2
Bagasse (Sugarcane),36.1,4.6,98.3,1.35,58.6,5,Highly Recommended,143.2
Bamboo Fiber,58.0,2.1,96.9,0.95,39.9,7,Highly Recommended,172.0
Bioplastic (PLA),51.2,10.0,94.5,2.32,41.2,8,Highly Recommended,242.4
Bioplastic (PLA),53.9,3.1,86.2,1.53,56.3,9,Highly Recommended,183.8
Virgin Plastic (PP),81.9,1.9,1.4,5.23,20.4,10,Avoid,232.8
Aluminum Foil,25.7,8.4,0.0,11.04,91.5,10,Avoid,185.4
Bioplastic (PLA),54.1,1.8,83.3,2.15,52.3,8,Consider as Option,166.2
Aluminum Foil,20.3,5.5,0.0,11.24,94.7,10,Avoid,145.6
Mushroom Mycelium,16.5,6.5,100.0,0.23,100.0,4,Highly Recommended,118.0
Bamboo Fiber,45.2,4.5,99.1,1.0,44.2,6,Highly Recommended,165.4
Mushroom Mycelium,22.4,1.9,100.0,0.16,100.0,4,Highly Recommended,83.8
Edible Seaweed Film,13.4,2.3,100.0,0.33,6.8,4,Consider as Option,69.8
Edible Seaweed Film,10.2,8.3,100.0,0.45,3.2,3,Consider as Option,118.4
