Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Inorganic,69.81,6.88,100.0,4.917,55.4,3.47,70.2,10.7,Yes,6,Food Trays
Biodegradable Polymer,43.37,2.87,85.4,5.38,9.3,2.52,85.3,9.6,Yes,6,Cushion Packaging
Natural Fiber,34.22,8.97,30.0,2.983,70.2,4.2,46.4,31.3,No,5,Wraps
Natural Polymer,112.08,11.03,51.7,3.594,81.7,3.42,66.8,79.6,Yes,10,Cushion Packaging
Plant-based Polymer,107.94,8.11,56.4,7.423,78.8,3.59,49.9,90.6,Yes,5,Dissolvable Pouches
Bio-Composite,78.15,3.0,67.0,1.898,10.3,2.96,51.0,55.8,Yes,7,Cereal Boxes
Synthetic Polymer,173.77,4.88,24.7,0.117,65.5,3.28,57.3,39.4,No,6,Crates
Plant-based Polymer,61.67,8.66,100.0,0.543,94.3,2.32,88.3,65.3,Yes,1,Wraps
Biodegradable Polymer,100.76,8.37,69.5,11.903,56.2,3.11,62.5,-3.9,Yes,10,Crates
Inorganic,79.94,0.1,37.7,6.476,43.9,2.32,35.0,94.3,No,7,Crates
Synthetic Polymer,86.44,8.51,0.0,2.969,25.5,2.77,51.4,60.9,No,9,Beverage Bottles
Biodegradable Polymer,39.58,11.22,24.4,6.539,62.5,1.25,41.3,85.6,No,8,Wraps
Inorganic,33.0,5.69,58.0,3.527,52.0,2.37,41.6,53.9,Yes,2,Bakery Packaging
Natural Polymer,61.31,7.68,31.0,4.824,65.8,1.34,28.4,18.5,No,5,Bakery Packaging
Wood-based,62.03,7.0,33.5,2.33,65.3,0.44,100.0,83.5,No,1,Dissolvable Pouches
Plant-based Polymer,51.17,5.33,59.8,0.0,52.1,1.76,47.4,23.1,Yes,2,Cushion Packaging
Bio-Composite,132.29,6.52,19.3,8.257,0.0,2.06,98.3,26.8,No,1,Edible Wraps
Metal,72.87,6.53,59.1,5.914,70.8,1.66,33.1,71.9,Yes,6,Crates
Natural Fiber,19.43,10.31,34.0,10.829,29.5,4.64,56.3,63.5,No,8,Beverage Bottles
Bio-Composite,103.37,2.02,28.7,5.773,70.5,3.42,54.3,34.6,No,7,Cereal Boxes
Inorganic,126.64,7.56,42.4,7.343,36.4,2.1,87.5,33.8,No,2,Dissolvable Pouches
Natural Fiber,61.94,16.27,59.6,3.528,95.4,0.01,35.1,109.8,Yes,4,Dissolvable Pouches
Natural Fiber,82.68,1.01,36.6,5.714,80.2,3.13,40.6,3.0,No,7,Crates
Natural Fiber,50.51,0.1,26.9,6.2,30.5,0.04,50.8,70.4,No,7,Food Trays
Biopolymer,38.66,10.73,56.0,4.776,39.1,1.02,34.7,41.9,Yes,5,Food Trays
Inorganic,86.38,6.78,59.7,8.116,48.8,4.77,37.6,12.9,Yes,7,Produce Wraps
Natural Polymer,109.86,5.27,41.5,2.733,17.9,3.29,92.6,87.8,No,4,Cereal Boxes
Wood-based,155.05,9.74,92.7,0.0,36.8,2.59,51.8,37.4,Yes,1,Crates
Metal,46.36,5.3,32.1,12.127,19.2,1.98,85.0,50.9,No,6,Plates
Biopolymer,72.39,13.09,92.8,7.25,39.3,0.94,48.2,30.2,Yes,5,Edible Wraps
Synthetic Polymer,84.96,4.32,55.8,5.266,31.7,3.19,100.0,57.4,Yes,3,Produce Wraps
Synthetic Polymer,30.99,4.48,58.5,4.587,36.4,0.52,62.7,46.3,Yes,8,Produce Wraps
Biodegradable Polymer,112.67,7.2,48.0,4.267,45.9,2.43,63.8,0.7,No,4,Containers
Natural Fiber,96.19,4.93,22.9,8.067,36.9,3.39,5.7,65.0,No,8,Containers
Paper-based,96.99,2.57,27.0,5.157,42.6,3.37,48.2,12.5,No,7,Dissolvable Pouches
Biodegradable Polymer,62.13,6.42,39.1,1.924,17.4,2.2,70.9,100.4,No,5,Cereal Boxes
Metal,67.43,5.0,64.2,6.674,60.3,3.42,50.2,38.8,Yes,5,Produce Wraps
Natural Fiber,78.43,7.42,24.5,9.241,75.3,0.75,47.6,35.7,No,6,Cutlery
Synthetic Polymer,108.18,7.63,44.7,0.269,55.6,0.81,67.1,39.6,No,8,Edible Wraps
Biodegradable Polymer,86.75,9.05,57.8,5.985,74.0,4.52,20.7,45.4,Yes,7,Beverage Bottles
Paper-based,82.07,7.96,18.9,7.821,58.9,0.69,66.3,88.9,No,6,Cereal Boxes
Bio-Composite,54.17,7.04,55.5,3.929,100.0,2.53,48.3,46.1,Yes,6,Bakery Packaging
Wood-based,1.0,5.48,27.5,2.4,71.2,0.8,28.5,78.0,No,6,Cushion Packaging
Natural Polymer,144.35,2.27,63.1,7.825,100.0,2.92,86.2,93.4,Yes,5,Takeaway Boxes
Biodegradable Polymer,104.62,3.41,20.0,8.245,57.6,2.12,65.7,28.6,No,3,Containers
Bio-Composite,21.06,6.6,78.7,0.0,90.0,0.01,75.5,44.7,Yes,4,Crates
Bio-Composite,103.88,7.89,34.9,3.119,54.2,4.06,39.3,-9.9,No,10,Wraps
Inorganic,63.12,5.36,52.2,1.279,87.9,0.72,53.8,103.6,Yes,6,Beverage Bottles
Bio-Composite,1.0,12.51,52.2,3.871,38.6,4.64,100.0,37.0,Yes,4,Dissolvable Pouches
Wood-based,64.14,3.66,20.9,5.661,62.3,1.14,72.5,32.9,No,5,Cushion Packaging
Natural Fiber,127.93,7.91,7.0,9.478,18.9,2.56,93.9,113.4,No,6,Takeaway Boxes
Synthetic Polymer,116.71,9.39,38.4,0.0,62.8,1.61,40.6,15.2,No,2,Containers
Natural Polymer,56.25,8.71,0.0,5.444,56.8,0.99,48.6,9.0,No,8,Beverage Bottles
Biopolymer,86.2,8.7,67.6,3.301,74.0,4.08,61.4,-0.8,Yes,7,Edible Wraps
Bio-Composite,119.84,5.44,38.5,0.282,70.0,4.18,37.8,24.6,No,10,Bowls
Inorganic,110.58,2.32,100.0,4.904,40.7,3.01,22.1,-20.0,Yes,5,Wraps
Wood-based,116.85,8.62,77.3,6.947,38.0,2.96,44.9,67.8,Yes,8,Cutlery
Plant-based Polymer,72.45,5.39,100.0,1.992,100.0,1.9,73.6,10.6,Yes,5,Dissolvable Pouches
Paper-based,110.89,4.3,52.0,3.218,33.4,2.74,1.8,59.5,Yes,9,Containers
Metal,44.72,8.78,32.1,0.688,64.9,3.97,77.6,37.6,No,2,Plates
Synthetic Polymer,88.18,6.01,20.0,7.854,100.0,2.76,71.0,35.7,No,5,Crates
Natural Polymer,34.84,3.01,54.5,0.496,43.6,2.48,50.4,22.0,Yes,7,Food Trays
Plant-based Polymer,15.67,7.47,51.1,6.478,55.6,0.15,47.7,35.7,Yes,8,Produce Wraps
Biodegradable Polymer,31.47,1.21,37.5,1.785,100.0,0.46,100.0,11.9,No,5,Cushion Packaging
Inorganic,113.1,12.9,32.1,10.354,75.4,1.97,21.4,117.4,No,5,Crates
Wood-based,69.76,7.96,98.8,2.465,85.0,2.89,71.8,101.6,Yes,8,Cushion Packaging
Wood-based,155.94,2.04,27.9,9.864,88.2,1.91,58.4,51.3,No,4,Bowls
Biopolymer,187.2,9.15,0.0,7.563,55.9,0.99,53.1,44.9,No,9,Cereal Boxes
Inorganic,73.29,4.51,8.0,5.707,59.4,4.35,48.4,119.1,No,7,Dissolvable Pouches
Biopolymer,81.35,2.17,65.8,11.059,14.4,2.56,65.0,88.2,Yes,9,Takeaway Boxes
Synthetic Polymer,60.59,7.57,79.9,7.302,36.9,3.28,89.6,48.3,Yes,1,Takeaway Boxes
Inorganic,73.6,9.24,87.0,4.306,46.5,2.48,78.7,8.0,Yes,3,Cutlery
Paper-based,143.01,3.29,76.3,4.738,91.6,3.46,54.0,109.9,Yes,6,Crates
Biopolymer,123.69,3.89,61.1,0.0,65.9,1.37,32.2,136.1,Yes,1,Beverage Bottles
Biodegradable Polymer,55.98,5.19,68.1,4.752,29.9,2.81,46.0,39.6,Yes,5,Produce Wraps
Metal,123.66,2.51,21.1,1.424,20.3,0.44,59.2,59.9,No,1,Edible Wraps
Biodegradable Polymer,84.18,6.16,14.2,2.888,28.3,1.53,46.8,32.4,No,2,Plates
Bio-Composite,69.1,6.47,23.6,0.0,65.8,4.38,68.2,81.3,No,4,Plates
Wood-based,110.46,5.38,41.6,3.564,66.9,2.44,7.8,112.1,No,1,Takeaway Boxes
Wood-based,63.48,9.98,45.5,5.105,40.3,0.01,37.2,5.3,No,6,Produce Wraps
Paper-based,141.62,12.75,66.7,3.975,21.6,2.94,30.4,69.3,Yes,7,Takeaway Boxes
Natural Polymer,122.82,6.15,67.9,4.222,24.2,2.65,54.5,58.7,Yes,5,Beverage Bottles
Wood-based,113.34,6.78,97.0,6.371,89.7,3.94,79.5,63.1,Yes,5,Dissolvable Pouches
Biodegradable Polymer,37.75,5.23,85.4,6.846,70.7,3.49,94.9,90.2,Yes,10,Crates
Paper-based,89.41,8.33,47.1,6.474,36.5,3.39,57.6,48.2,No,4,Crates
Biodegradable Polymer,145.54,2.09,74.4,4.238,64.8,4.23,99.5,94.4,Yes,7,Bowls
Plant-based Polymer,106.24,8.1,72.1,10.059,34.4,3.1,66.7,13.3,Yes,10,Food Trays
Natural Polymer,58.06,7.84,48.3,2.532,64.3,3.87,80.8,9.9,No,5,Edible Wraps
Metal,78.83,11.08,57.3,6.336,29.8,2.78,42.8,89.3,Yes,8,Bowls
Metal,83.57,8.13,53.9,4.484,71.5,3.14,46.6,72.9,Yes,3,Cutlery
Bio-Composite,54.4,2.33,84.4,5.851,92.9,2.77,60.4,37.8,Yes,6,Food Trays
Biodegradable Polymer,56.46,5.41,59.3,4.301,35.5,3.65,61.9,87.3,Yes,5,Produce Wraps
Wood-based,23.84,0.62,31.0,1.53,73.4,3.16,62.8,57.0,No,4,Plates
Paper-based,32.06,6.88,71.9,0.787,72.5,3.73,82.1,-5.7,Yes,10,Food Trays
Inorganic,107.05,5.93,44.7,0.0,72.3,3.82,27.6,83.2,No,9,Takeaway Boxes
Synthetic Polymer,91.22,2.14,28.8,1.466,100.0,2.67,85.7,68.7,No,4,Bakery Packaging
Paper-based,1.0,6.82,82.4,5.843,43.3,2.85,48.1,48.8,Yes,6,Containers
Paper-based,42.34,12.47,58.5,1.58,76.8,0.65,53.6,-20.0,Yes,4,Cutlery
Metal,69.15,3.28,56.3,0.143,29.9,4.51,83.0,77.7,Yes,1,Wraps
Synthetic Polymer,65.52,5.44,40.9,2.092,75.9,1.06,78.6,26.6,No,1,Edible Wraps
Biopolymer,89.85,1.14,4.6,8.869,28.2,3.03,44.5,-20.0,No,2,Crates
Synthetic Polymer,139.5,5.08,80.6,4.806,38.5,1.91,80.4,70.0,Yes,1,Dissolvable Pouches
Wood-based,107.95,6.31,46.7,1.058,18.0,1.49,69.0,79.8,No,8,Bowls
Biodegradable Polymer,93.9,5.77,50.1,5.954,54.7,4.9,20.4,33.1,Yes,1,Cushion Packaging
Bio-Composite,74.31,2.81,33.0,4.379,34.5,1.86,51.8,-17.7,No,5,Wraps
Bio-Composite,97.08,5.74,75.8,4.71,29.3,2.42,61.2,50.4,Yes,1,Dissolvable Pouches
Biodegradable Polymer,91.07,7.86,25.3,3.953,71.3,4.8,48.6,64.2,No,2,Beverage Bottles
Wood-based,63.33,0.92,62.1,5.548,39.6,2.09,61.8,88.9,Yes,7,Bakery Packaging
Metal,160.15,1.95,21.6,1.463,66.0,3.31,52.9,50.5,No,1,Takeaway Boxes
Natural Fiber,141.47,10.52,36.5,7.53,45.6,1.39,49.0,21.7,No,5,Takeaway Boxes
Natural Fiber,134.08,5.47,74.4,5.758,26.3,2.87,35.6,6.1,Yes,7,Wraps
Paper-based,51.6,5.47,81.1,3.195,100.0,4.37,61.8,74.6,Yes,7,Containers
Natural Fiber,53.81,5.38,64.1,3.582,63.3,2.24,55.5,27.1,Yes,9,Cutlery
Paper-based,31.6,8.35,100.0,4.991,85.4,3.47,68.8,112.9,Yes,5,Food Trays
Bio-Composite,136.25,6.42,68.7,5.376,24.3,1.71,43.2,87.1,Yes,4,Food Trays
Synthetic Polymer,99.25,3.19,52.5,2.209,56.5,3.21,69.9,102.7,Yes,5,Bowls
Paper-based,38.66,11.39,56.2,3.223,38.3,1.48,80.7,28.9,Yes,2,Edible Wraps
Biopolymer,28.73,2.69,85.4,7.697,50.0,2.06,75.7,15.2,Yes,4,Food Trays
Natural Polymer,67.82,5.01,49.0,1.704,50.9,2.09,57.3,29.9,No,8,Plates
Synthetic Polymer,85.3,9.46,66.3,4.825,47.8,3.67,39.4,75.5,Yes,5,Cushion Packaging
Plant-based Polymer,89.74,7.55,83.8,1.939,100.0,2.66,30.2,122.7,Yes,5,Crates
Bio-Composite,68.32,8.33,50.6,0.0,11.3,4.57,70.9,71.7,Yes,10,Crates
Plant-based Polymer,136.02,6.83,53.5,5.415,73.1,3.72,61.1,-5.3,Yes,1,Bowls
Paper-based,88.89,7.45,71.9,0.0,39.9,1.05,93.5,33.5,Yes,4,Containers
Paper-based,97.85,7.55,100.0,2.023,75.7,2.67,5.3,77.4,Yes,5,Dissolvable Pouches
Metal,73.88,6.56,58.5,4.319,37.3,1.98,57.6,85.1,Yes,6,Beverage Bottles
Natural Fiber,38.01,6.85,59.6,6.254,40.8,2.96,59.1,64.8,Yes,8,Beverage Bottles
Biodegradable Polymer,73.26,4.8,79.4,1.96,68.3,4.11,20.6,12.9,Yes,3,Produce Wraps
Paper-based,23.32,1.65,58.9,5.669,51.4,0.16,49.4,-20.0,Yes,5,Cereal Boxes
Paper-based,46.18,10.8,0.0,7.372,53.1,0.01,42.1,32.3,No,4,Takeaway Boxes
Synthetic Polymer,40.45,5.36,37.4,0.0,33.1,3.53,79.0,22.6,No,5,Produce Wraps
Wood-based,102.14,12.78,77.6,1.61,75.8,3.52,92.1,52.6,Yes,5,Bowls
Bio-Composite,113.94,12.56,43.3,10.492,85.8,4.27,100.0,79.4,No,8,Bakery Packaging
Plant-based Polymer,69.14,9.99,10.3,8.448,78.9,1.74,76.9,57.2,No,10,Bowls
Natural Polymer,160.33,4.95,66.1,4.636,68.5,3.27,31.5,113.7,Yes,9,Takeaway Boxes
Inorganic,47.06,9.37,85.7,8.051,59.6,3.62,73.4,36.0,Yes,2,Produce Wraps
Plant-based Polymer,96.44,0.1,71.0,3.642,61.9,2.6,68.0,52.0,Yes,6,Crates
Natural Polymer,53.32,12.49,17.1,1.919,34.1,3.64,77.5,42.1,No,8,Bakery Packaging
Biopolymer,59.51,4.72,2.3,0.0,53.5,2.98,60.3,64.1,No,8,Produce Wraps
Biopolymer,47.04,4.4,0.0,2.329,98.6,1.1,49.3,20.5,No,5,Takeaway Boxes
Natural Polymer,106.76,7.95,85.9,7.361,52.6,3.83,34.9,65.0,Yes,9,Edible Wraps
Natural Polymer,1.0,9.92,50.3,1.859,49.0,3.21,75.6,47.4,Yes,4,Edible Wraps
Inorganic,95.29,4.27,50.2,6.29,25.1,3.54,39.2,16.4,Yes,1,Beverage Bottles
Natural Polymer,80.53,5.05,53.0,4.191,55.3,0.21,13.7,65.9,Yes,9,Crates
Wood-based,83.38,5.7,58.1,2.434,85.6,4.38,65.1,18.8,Yes,4,Containers
Biopolymer,122.87,7.98,76.9,0.312,62.2,1.75,87.3,37.8,Yes,9,Cutlery
Synthetic Polymer,53.65,4.7,8.8,6.58,12.2,2.85,77.2,42.1,No,1,Food Trays
Natural Polymer,130.22,2.33,20.5,0.0,97.1,5.28,35.9,70.7,No,4,Cushion Packaging
Paper-based,124.36,4.0,22.5,8.598,59.9,3.05,72.3,-11.3,No,9,Containers
Plant-based Polymer,12.88,11.92,12.9,1.612,66.6,3.17,86.2,70.9,No,6,Beverage Bottles
Inorganic,25.02,12.46,18.9,6.1,35.1,2.32,54.5,95.0,No,3,Cushion Packaging
Inorganic,21.03,9.12,21.2,7.809,73.5,4.63,92.0,53.7,No,9,Cereal Boxes
Paper-based,71.9,9.36,0.0,5.364,91.7,4.99,83.1,84.8,No,8,Dissolvable Pouches
Biodegradable Polymer,99.6,12.08,35.1,8.191,42.8,2.29,79.7,97.1,No,8,Plates
Synthetic Polymer,107.37,10.06,51.1,3.681,35.0,3.45,48.6,26.0,Yes,5,Takeaway Boxes
Biopolymer,148.82,4.49,4.3,6.737,65.5,3.16,50.8,97.0,No,5,Wraps
Natural Polymer,90.88,4.3,56.8,7.396,17.2,2.68,100.0,46.7,Yes,8,Takeaway Boxes
Inorganic,28.06,2.02,81.3,1.704,46.5,3.06,60.5,40.0,Yes,2,Wraps
Plant-based Polymer,84.15,10.16,0.0,10.089,51.6,2.98,61.1,105.0,No,7,Bakery Packaging
Metal,56.39,6.09,66.4,3.915,84.1,2.32,50.8,-10.9,Yes,5,Wraps
Metal,4.25,8.94,37.3,3.422,61.7,4.74,88.0,108.8,No,5,Bakery Packaging
Bio-Composite,127.22,0.1,61.9,6.152,11.5,1.64,50.2,85.9,Yes,7,Cereal Boxes
Inorganic,127.73,10.39,24.9,1.912,27.8,2.24,37.1,55.7,No,7,Edible Wraps
Inorganic,150.42,7.51,18.2,5.672,44.9,2.84,58.2,97.9,No,5,Wraps
Natural Fiber,55.04,9.66,91.9,2.729,95.1,3.64,54.0,60.9,Yes,5,Bakery Packaging
Natural Fiber,91.15,0.1,73.0,7.0,42.9,3.37,64.0,1.2,Yes,10,Takeaway Boxes
Natural Fiber,78.66,5.09,0.0,4.116,50.9,1.74,62.0,-7.5,No,8,Cutlery
Biopolymer,59.53,4.28,22.4,6.887,69.6,2.71,72.7,102.8,No,5,Dissolvable Pouches
Plant-based Polymer,143.84,2.85,35.6,5.041,82.3,5.15,57.8,44.2,No,7,Food Trays
Bio-Composite,115.44,10.67,41.5,0.541,67.9,4.16,62.1,49.9,No,3,Cereal Boxes
Metal,62.46,10.21,97.7,8.154,30.5,2.42,40.1,5.2,Yes,5,Beverage Bottles
Biodegradable Polymer,104.06,4.75,71.7,5.043,81.6,3.43,36.6,66.5,Yes,7,Food Trays
Wood-based,150.12,8.4,69.1,0.065,40.5,2.84,38.6,-1.8,Yes,5,Food Trays
Plant-based Polymer,141.89,9.45,100.0,7.54,31.6,0.14,19.5,144.9,Yes,5,Bowls
Plant-based Polymer,140.13,6.69,84.6,0.0,100.0,3.56,38.5,5.6,Yes,10,Food Trays
Wood-based,148.84,3.5,70.7,1.792,79.4,1.56,53.9,30.6,Yes,2,Plates
Inorganic,122.37,6.23,100.0,3.924,50.9,0.01,50.3,114.2,Yes,5,Food Trays
Biopolymer,94.09,0.73,46.7,2.739,46.6,4.2,75.7,98.4,No,7,Edible Wraps
Biodegradable Polymer,7.33,0.47,29.2,3.934,75.3,1.04,55.5,127.4,No,7,Beverage Bottles
Plant-based Polymer,101.32,12.59,49.5,2.169,44.2,3.95,96.8,26.8,No,6,Wraps
Natural Polymer,149.61,2.07,65.3,2.573,99.4,0.74,90.3,69.8,Yes,7,Cushion Packaging
Natural Fiber,83.91,9.84,26.8,0.328,47.0,3.49,68.2,44.2,No,4,Bowls
Plant-based Polymer,107.32,12.44,49.1,3.529,67.1,1.05,68.7,97.1,No,6,Containers
Bio-Composite,65.71,9.34,46.7,2.986,38.9,1.37,77.6,60.7,No,5,Crates
Plant-based Polymer,155.75,3.27,80.4,4.694,19.8,3.81,24.8,53.1,Yes,7,Bakery Packaging
Inorganic,79.91,5.44,19.9,3.585,53.5,1.79,77.0,45.9,No,6,Cereal Boxes
Natural Fiber,101.79,6.22,62.2,4.79,53.3,2.51,47.7,-1.9,Yes,9,Containers
Synthetic Polymer,61.14,7.66,21.3,6.916,75.6,2.75,63.6,45.5,No,3,Takeaway Boxes
Natural Polymer,135.81,6.0,58.7,2.728,84.2,5.54,94.3,59.4,Yes,10,Takeaway Boxes
Metal,61.91,9.76,32.4,8.75,85.8,3.48,26.0,56.7,No,3,Bowls
Inorganic,104.76,3.23,50.6,7.132,83.8,2.45,88.3,78.5,Yes,1,Edible Wraps
Biodegradable Polymer,115.11,12.68,44.3,9.092,76.9,3.61,60.6,58.8,No,8,Edible Wraps
Biopolymer,42.65,2.5,67.9,5.556,67.8,0.73,100.0,43.6,Yes,5,Wraps
Natural Fiber,73.9,10.26,0.0,8.429,43.6,0.01,41.3,-1.5,No,4,Beverage Bottles
Inorganic,104.67,9.32,33.5,3.511,52.0,2.05,48.7,2.1,No,2,Produce Wraps
Biopolymer,97.44,10.5,92.3,7.402,89.0,2.88,91.4,75.9,Yes,9,Crates
Inorganic,111.81,9.2,36.4,8.092,75.6,0.01,82.5,5.1,No,2,Cereal Boxes
Inorganic,123.28,1.75,80.7,3.018,50.0,2.16,26.8,-20.0,Yes,6,Edible Wraps
Plant-based Polymer,64.26,6.31,24.7,9.244,64.9,3.8,67.1,38.5,No,4,Food Trays
Inorganic,29.78,3.08,66.7,3.992,60.0,2.95,44.6,104.7,Yes,8,Dissolvable Pouches
Biopolymer,74.82,3.57,14.5,10.846,39.2,5.24,86.4,15.8,No,8,Cushion Packaging
Paper-based,45.8,3.34,53.4,8.596,3.9,3.74,79.1,16.9,Yes,2,Food Trays
Natural Fiber,119.47,8.99,55.1,0.353,82.0,3.48,33.8,49.4,Yes,10,Containers
Paper-based,55.67,5.02,70.8,5.079,88.9,1.97,2.7,57.7,Yes,4,Takeaway Boxes
Inorganic,87.82,8.81,55.7,6.772,39.6,2.66,57.3,84.3,Yes,2,Produce Wraps
Paper-based,146.7,9.62,64.9,3.502,28.2,2.51,62.2,1.0,Yes,3,Edible Wraps
Synthetic Polymer,107.19,9.11,40.9,5.914,99.0,2.42,67.9,22.5,No,7,Containers
Inorganic,46.65,9.17,28.6,6.638,69.7,4.12,52.9,24.6,No,5,Bowls
Biopolymer,112.89,14.02,61.4,4.327,17.3,4.39,63.1,59.4,Yes,4,Cutlery
Biopolymer,55.58,1.54,86.7,1.429,41.1,1.95,38.1,84.3,Yes,1,Produce Wraps
Inorganic,87.22,7.32,57.2,4.31,91.0,0.64,55.5,60.5,Yes,8,Produce Wraps
Plant-based Polymer,125.59,12.14,0.0,2.89,83.3,3.77,78.7,6.2,No,7,Takeaway Boxes
Natural Fiber,114.44,9.46,43.7,9.212,76.7,3.02,55.1,57.7,No,6,Bakery Packaging
Biopolymer,98.0,1.71,8.4,7.567,84.0,1.78,20.9,76.2,No,7,Dissolvable Pouches
Paper-based,87.51,8.2,46.1,5.489,49.9,2.31,20.6,-2.0,No,5,Cutlery
Paper-based,99.81,11.68,75.6,8.881,74.5,1.92,15.4,60.9,Yes,1,Edible Wraps
Inorganic,94.02,8.38,42.4,0.0,77.3,3.64,100.0,143.4,No,3,Containers
Synthetic Polymer,23.96,2.87,70.6,4.693,100.0,1.24,57.5,33.6,Yes,4,Cushion Packaging
Paper-based,109.7,3.57,57.9,3.217,75.4,1.72,41.4,14.1,Yes,8,Wraps
Synthetic Polymer,59.2,11.58,36.0,3.074,22.5,4.49,72.6,92.2,No,2,Edible Wraps
Inorganic,90.8,4.77,82.4,5.112,64.1,0.93,43.5,100.2,Yes,9,Crates
Metal,26.26,3.41,83.4,4.241,67.2,2.49,4.1,-18.2,Yes,1,Plates
Metal,30.87,4.27,95.4,4.637,53.7,3.49,69.5,57.1,Yes,7,Plates
Metal,63.59,8.45,22.3,7.974,17.3,2.47,59.7,87.4,No,1,Food Trays
Wood-based,80.96,7.03,42.7,1.5,100.0,4.07,62.5,114.7,No,7,Takeaway Boxes
Wood-based,39.88,8.01,67.9,5.321,75.1,3.23,75.0,13.8,Yes,7,Produce Wraps
Inorganic,50.76,1.8,34.1,7.185,44.1,3.73,71.3,72.6,No,7,Cushion Packaging
Metal,31.32,8.7,17.1,10.353,73.5,2.47,67.0,68.4,No,8,Takeaway Boxes
Natural Polymer,30.68,7.71,65.3,4.26,82.3,0.01,90.6,114.6,Yes,5,Bowls
Natural Fiber,55.92,3.93,60.3,6.404,73.4,2.5,70.8,20.7,Yes,1,Dissolvable Pouches
Bio-Composite,125.59,2.28,62.7,7.094,49.2,0.45,100.0,79.8,Yes,3,Cutlery
Biopolymer,61.38,5.54,5.2,5.367,80.2,1.73,41.1,114.6,No,7,Containers
Metal,17.98,3.66,20.9,3.365,63.7,1.05,49.2,20.2,No,8,Crates
Metal,38.75,7.04,65.6,10.118,77.8,3.78,51.5,62.1,Yes,5,Takeaway Boxes
Natural Fiber,22.76,5.85,78.1,3.188,84.9,3.87,84.9,65.9,Yes,8,Containers
Biopolymer,69.17,11.84,72.3,0.0,48.3,3.38,73.6,-0.4,Yes,5,Bowls
Paper-based,56.16,9.12,36.5,3.966,73.2,0.59,54.0,99.6,No,8,Plates
Natural Fiber,85.45,7.79,51.0,5.49,56.1,1.12,43.5,96.1,Yes,6,Cereal Boxes
Natural Fiber,88.76,8.15,60.8,4.642,87.8,1.57,57.9,38.2,Yes,2,Crates
Synthetic Polymer,58.56,6.44,38.7,0.0,77.1,3.5,24.9,109.0,No,6,Crates
Inorganic,39.41,13.05,71.9,3.344,64.8,3.64,10.9,83.2,Yes,9,Takeaway Boxes
Biopolymer,82.66,11.36,77.4,6.544,44.1,1.95,34.8,56.8,Yes,3,Containers
Plant-based Polymer,65.2,4.98,94.8,4.241,60.1,3.02,47.3,72.1,Yes,5,Cushion Packaging
Inorganic,89.48,9.95,94.3,6.631,50.3,2.73,100.0,55.9,Yes,5,Cereal Boxes
Bio-Composite,28.27,6.74,56.9,3.167,52.8,1.36,34.8,-14.4,Yes,5,Beverage Bottles
Metal,37.82,11.83,89.8,4.185,46.3,3.4,25.3,69.6,Yes,4,Crates
Biodegradable Polymer,148.48,8.94,24.8,2.743,54.3,3.18,58.8,62.5,No,6,Cereal Boxes
Biodegradable Polymer,115.81,7.11,66.0,6.895,64.7,1.75,73.0,81.3,Yes,5,Edible Wraps
Paper-based,77.46,5.86,20.6,0.0,65.1,1.68,38.7,78.7,No,9,Bowls
Inorganic,107.53,8.98,16.3,3.983,44.9,4.19,61.7,39.4,No,2,Wraps
Natural Polymer,1.0,9.38,0.0,3.842,70.0,2.94,47.1,20.2,No,9,Bakery Packaging
Natural Polymer,35.04,7.37,1.8,0.0,43.2,4.33,64.4,49.9,No,2,Crates
Wood-based,56.55,2.61,3.0,3.487,79.3,1.57,32.1,68.7,No,8,Beverage Bottles
Natural Polymer,45.96,3.61,0.0,0.984,72.3,3.75,66.1,87.8,No,4,Plates
Paper-based,113.51,6.35,23.5,3.128,30.2,3.34,53.3,67.7,No,5,Dissolvable Pouches
Biopolymer,55.67,5.67,10.7,1.879,44.3,2.69,100.0,2.9,No,9,Cutlery
Plant-based Polymer,46.74,6.75,16.6,7.599,78.4,5.03,0.0,-8.5,No,1,Takeaway Boxes
Bio-Composite,56.08,4.86,51.6,1.09,47.6,3.15,44.2,20.0,Yes,1,Edible Wraps
Metal,114.98,4.15,64.0,0.205,100.0,2.48,80.2,81.2,Yes,6,Food Trays
Biodegradable Polymer,62.61,8.28,0.0,5.893,47.2,2.38,98.0,21.7,No,9,Wraps
Bio-Composite,115.46,4.86,42.4,1.768,83.9,0.93,70.0,8.0,No,6,Wraps
Plant-based Polymer,129.24,6.81,45.0,8.654,42.5,2.91,58.3,63.1,No,6,Edible Wraps
Natural Fiber,131.71,1.13,59.2,2.95,46.6,4.37,14.1,83.2,Yes,4,Cereal Boxes
Biopolymer,139.97,6.44,76.8,8.671,63.7,1.37,36.7,48.9,Yes,3,Crates
Bio-Composite,76.92,7.26,62.6,5.394,57.8,1.18,77.2,24.5,Yes,6,Food Trays
Synthetic Polymer,69.5,7.76,4.4,3.965,44.7,3.49,17.9,75.2,No,5,Produce Wraps
Plant-based Polymer,84.69,7.24,15.4,5.861,73.1,2.89,73.2,70.0,No,6,Dissolvable Pouches
