Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Mushroom Mycelium,16.4,0.7,100.0,0.38,100.0,4,Highly Recommended
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,Highly Recommended
Edible Seaweed Film,13.5,6.5,100.0,0.47,8.9,4,Consider as Option
Edible Seaweed Film,11.8,0.6,100.0,0.47,9.5,3,Consider as Option
Virgin Plastic (PP),69.7,1.8,2.0,5.03,24.3,10,Avoid
Bamboo Fiber,41.9,9.8,97.2,0.79,34.6,8,Highly Recommended
Mushroom Mycelium,10.7,7.8,100.0,0.38,100.0,6,Highly Recommended
Bagasse (Sugarcane),38.6,8.8,95.5,1.06,69.6,7,Highly Recommended
Bioplastic (PLA),61.3,0.8,82.0,2.37,55.7,9,Highly Recommended
Mushroom Mycelium,11.7,9.9,100.0,0.36,100.0,6,Highly Recommended
Bioplastic (PLA),66.2,8.8,92.7,2.41,51.5,9,Highly Recommended
Virgin Plastic (PP),76.1,5.1,4.1,3.63,20.9,10,Avoid
Mushroom Mycelium,14.7,4.8,100.0,0.13,100.0,6,Highly Recommended
Aluminum Foil,20.0,6.9,0.0,11.89,99.2,10,Avoid
Mushroom Mycelium,23.7,6.2,100.0,0.28,100.0,5,Highly Recommended
Virgin Plastic (PP),78.8,1.4,0.2,5.28,11.7,10,Avoid
Mushroom Mycelium,22.1,3.8,100.0,0.26,100.0,5,Highly Recommended
Bagasse (Sugarcane),34.4,8.1,96.5,1.16,51.5,6,Highly Recommended
Aluminum Foil,36.2,6.8,0.0,9.41,90.0,10,Avoid
Aluminum Foil,42.0,4.3,0.0,8.89,97.5,10,Avoid
Bioplastic (PLA),51.7,0.6,93.2,1.88,49.7,8,Highly Recommended
Mushroom Mycelium,23.7,3.2,100.0,0.3,100.0,6,Highly Recommended
Recycled Cardboard,28.3,9.2,91.9,1.1,81.7,4,Highly Recommended
Bagasse (Sugarcane),35.9,9.4,97.3,1.08,50.8,5,Highly Recommended
Bagasse (Sugarcane),20.2,8.0,99.0,1.29,62.2,5,Highly Recommended
Bamboo Fiber,47.5,5.2,99.1,1.11,32.8,7,Highly Recommended
Bamboo Fiber,50.5,0.5,99.0,1.08,38.7,6,Highly Recommended
Edible Seaweed Film,12.3,7.3,100.0,0.41,9.5,3,Consider as Option
Virgin Plastic (PP),88.5,4.0,2.4,5.79,26.5,10,Avoid
Virgin Plastic (PP),73.0,3.2,4.4,3.74,14.5,10,Avoid
Mushroom Mycelium,17.7,1.5,100.0,0.13,100.0,6,Highly Recommended
Mushroom Mycelium,14.2,5.7,100.0,0.19,100.0,4,Highly Recommended
Bioplastic (PLA),63.1,3.7,86.1,2.37,59.0,9,Highly Recommended
Aluminum Foil,23.4,0.9,0.0,8.14,99.2,10,Avoid
Mushroom Mycelium,21.6,7.2,100.0,0.12,100.0,5,Highly Recommended
Bagasse (Sugarcane),36.9,4.3,99.3,1.36,55.6,5,Highly Recommended
Virgin Plastic (PP),61.9,7.3,3.2,5.39,24.0,10,Avoid
Recycled Cardboard,26.0,7.8,99.9,1.12,80.9,5,Highly Recommended
Bagasse (Sugarcane),39.3,5.7,97.4,1.26,56.1,6,Highly Recommended
Bagasse (Sugarcane),38.6,7.6,97.3,1.24,65.4,5,Highly Recommended
Virgin Plastic (PP),64.0,6.3,0.6,4.49,18.6,10,Avoid
Bamboo Fiber,43.9,1.7,98.8,0.93,46.0,7,Highly Recommended
Virgin Plastic (PP),67.6,7.7,2.8,5.66,28.3,10,Avoid
Bioplastic (PLA),72.2,7.6,87.1,1.77,41.7,8,Highly Recommended
Mushroom Mycelium,18.8,8.7,100.0,0.2,100.0,6,Highly Recommended
Edible Seaweed Film,10.9,4.8,100.0,0.45,0.1,2,Consider as Option
Edible Seaweed Film,12.2,7.2,100.0,0.41,1.7,3,Consider as Option
Mushroom Mycelium,15.1,1.6,100.0,0.29,100.0,6,Highly Recommended
Bagasse (Sugarcane),32.2,1.3,98.3,1.37,53.8,6,Highly Recommended
Bamboo Fiber,41.0,7.8,99.3,0.66,30.6,6,Highly Recommended
Bioplastic (PLA),62.9,2.0,88.4,1.64,54.8,9,Highly Recommended
Recycled Cardboard,32.3,6.1,98.7,1.06,95.1,4,Highly Recommended
Bagasse (Sugarcane),39.5,3.7,98.1,1.18,50.2,7,Highly Recommended
Bioplastic (PLA),64.4,4.6,86.2,2.01,53.6,9,Highly Recommended
Mushroom Mycelium,19.5,9.4,100.0,0.14,100.0,5,Highly Recommended
Aluminum Foil,44.3,9.6,0.0,11.84,96.5,10,Avoid
Bagasse (Sugarcane),30.5,8.4,96.6,1.24,59.7,5,Highly Recommended
Recycled Cardboard,26.0,2.4,92.4,1.1,90.4,5,Highly Recommended
Recycled Cardboard,19.6,4.0,97.8,0.9,99.3,5,Highly Recommended
Bagasse (Sugarcane),25.3,6.7,98.7,1.15,54.1,6,Highly Recommended
Mushroom Mycelium,15.1,2.9,100.0,0.34,100.0,4,Highly Recommended
Bagasse (Sugarcane),20.9,8.1,97.2,1.35,64.3,5,Highly Recommended
Aluminum Foil,36.8,6.5,0.0,11.59,92.2,10,Avoid
Mushroom Mycelium,23.0,9.1,100.0,0.35,100.0,5,Highly Recommended
Bagasse (Sugarcane),31.0,8.6,98.8,1.24,56.8,7,Highly Recommended
Bioplastic (PLA),52.4,4.8,87.5,2.18,50.0,9,Highly Recommended
Aluminum Foil,23.8,1.6,0.0,11.77,92.8,10,Avoid
Bagasse (Sugarcane),34.8,3.5,96.9,1.12,65.7,7,Highly Recommended
Virgin Plastic (PP),61.3,4.7,2.0,5.9,16.8,10,Avoid
Aluminum Foil,31.2,9.8,0.0,10.64,94.8,10,Avoid
Mushroom Mycelium,23.2,7.8,100.0,0.27,100.0,6,Highly Recommended
Virgin Plastic (PP),89.2,4.9,1.5,4.12,24.3,10,Avoid
Bagasse (Sugarcane),32.9,7.9,97.8,0.98,52.5,7,Highly Recommended
Recycled Cardboard,19.7,4.2,94.7,0.92,80.2,4,Highly Recommended
Bioplastic (PLA),65.7,7.6,86.3,2.46,47.2,9,Consider as Option
Virgin Plastic (PP),90.0,7.9,1.6,3.75,24.3,10,Avoid
Aluminum Foil,40.4,8.0,0.0,8.76,90.0,10,Avoid
Mushroom Mycelium,16.5,8.8,100.0,0.31,100.0,6,Highly Recommended
Mushroom Mycelium,10.6,1.6,100.0,0.33,100.0,4,Highly Recommended
Virgin Plastic (PP),70.8,9.9,1.8,4.03,24.1,10,Avoid
Bamboo Fiber,56.6,8.2,97.1,0.51,32.3,7,Highly Recommended
Bagasse (Sugarcane),34.9,4.0,97.4,1.35,55.5,6,Highly Recommended
Virgin Plastic (PP),74.1,1.1,4.3,4.33,14.7,10,Avoid
Edible Seaweed Film,7.8,8.1,100.0,0.28,6.2,3,Consider as Option
Bamboo Fiber,57.4,2.9,97.7,1.14,42.8,6,Highly Recommended
Bagasse (Sugarcane),38.6,0.9,96.5,0.98,69.5,7,Highly Recommended
Edible Seaweed Film,8.2,3.7,100.0,0.32,1.5,3,Consider as Option
Bioplastic (PLA),51.5,6.5,91.6,2.0,40.4,8,Highly Recommended
Edible Seaweed Film,11.3,1.3,100.0,0.39,5.3,2,Consider as Option
Bamboo Fiber,54.9,8.8,98.1,0.63,33.2,6,Highly Recommended
Aluminum Foil,28.8,5.0,0.0,11.43,95.3,10,Avoid
Virgin Plastic (PP),60.8,3.7,2.5,5.68,21.3,10,Avoid
Bioplastic (PLA),56.0,0.5,92.2,2.28,41.7,9,Highly Recommended
Bamboo Fiber,59.6,4.4,97.3,0.66,39.8,8,Highly Recommended
Bamboo Fiber,57.7,7.3,97.9,0.83,47.8,6,Highly Recommended
Bioplastic (PLA),67.7,5.3,92.7,1.53,55.9,8,Highly Recommended
Bagasse (Sugarcane),31.8,9.7,95.7,1.23,52.5,6,Highly Recommended
Virgin Plastic (PP),77.5,0.9,4.8,5.36,28.1,10,Avoid
Virgin Plastic (PP),82.2,5.8,0.1,5.12,26.2,10,Avoid
Bamboo Fiber,55.8,4.9,99.3,1.0,38.2,6,Highly Recommended
Bioplastic (PLA),56.8,6.0,88.3,1.99,56.8,8,Highly Recommended
Recycled Cardboard,28.4,8.1,90.3,1.2,98.6,5,Highly Recommended
Aluminum Foil,33.4,9.1,0.0,9.97,97.6,10,Avoid
Bamboo Fiber,43.0,4.3,95.9,1.18,42.8,8,Highly Recommended
Mushroom Mycelium,18.8,0.7,100.0,0.23,100.0,4,Highly Recommended
Mushroom Mycelium,12.1,9.7,100.0,0.1,100.0,4,Highly Recommended
Bagasse (Sugarcane),31.0,6.4,95.9,0.96,69.0,7,Highly Recommended
Virgin Plastic (PP),66.2,8.7,3.4,4.16,11.7,10,Avoid
Edible Seaweed Film,7.5,8.6,100.0,0.31,1.8,4,Consider as Option
Bamboo Fiber,52.1,5.0,99.2,0.58,40.7,8,Highly Recommended
Bioplastic (PLA),73.5,2.6,82.3,2.46,56.5,8,Consider as Option
Aluminum Foil,37.6,5.0,0.0,8.77,90.4,10,Avoid
Mushroom Mycelium,21.7,9.9,100.0,0.39,100.0,5,Highly Recommended
Virgin Plastic (PP),64.3,7.4,5.0,4.42,26.7,10,Avoid
Bamboo Fiber,51.4,2.4,98.3,1.18,36.9,7,Highly Recommended
Mushroom Mycelium,20.2,5.1,100.0,0.25,100.0,5,Highly Recommended
Bagasse (Sugarcane),36.6,4.5,96.1,1.32,65.4,6,Highly Recommended
Mushroom Mycelium,18.1,4.8,100.0,0.14,100.0,5,Highly Recommended
Virgin Plastic (PP),82.2,5.8,0.1,5.12,26.2,10,Avoid
Bamboo Fiber,49.9,5.7,99.4,1.14,49.5,7,Highly Recommended
Mushroom Mycelium,12.5,6.6,100.0,0.37,100.0,4,Highly Recommended
Aluminum Foil,36.5,5.8,0.0,9.03,92.4,10,Avoid
Aluminum Foil,23.0,2.6,0.0,8.24,90.3,10,Avoid
Bagasse (Sugarcane),31.5,7.7,97.7,1.19,68.1,6,Highly Recommended
Edible Seaweed Film,8.0,9.3,100.0,0.35,8.5,3,Consider as Option
Bioplastic (PLA),60.0,0.6,93.5,1.9,47.4,8,Highly Recommended
Mushroom Mycelium,18.5,3.4,100.0,0.15,100.0,5,Highly Recommended
Bamboo Fiber,46.6,1.5,96.3,0.77,32.2,7,Highly Recommended
Bamboo Fiber,51.0,6.3,95.4,0.73,40.0,7,Highly Recommended
Bagasse (Sugarcane),30.3,4.7,95.7,1.32,60.7,5,Highly Recommended
Aluminum Foil,37.3,0.5,0.0,11.06,97.8,10,Avoid
Bioplastic (PLA),59.4,8.4,91.3,2.01,53.7,9,Highly Recommended
Mushroom Mycelium,20.7,7.8,100.0,0.29,100.0,6,Highly Recommended
Mushroom Mycelium,13.0,3.3,100.0,0.12,100.0,5,Highly Recommended
Bagasse (Sugarcane),26.0,4.9,96.8,1.02,66.1,5,Highly Recommended
Bioplastic (PLA),58.1,5.1,90.2,1.64,46.9,8,Highly Recommended
Bamboo Fiber,59.9,2.2,98.6,0.89,44.8,7,Highly Recommended
Virgin Plastic (PP),61.3,9.1,3.8,5.6,25.9,10,Avoid
Bioplastic (PLA),72.9,6.7,91.2,1.57,58.3,8,Highly Recommended
Recycled Cardboard,25.1,4.1,97.4,1.06,92.2,4,Highly Recommended
Recycled Cardboard,22.9,0.6,94.6,1.02,92.1,4,Highly Recommended
Aluminum Foil,26.5,4.8,0.0,11.48,97.5,10,Avoid
Mushroom Mycelium,19.5,4.2,100.0,0.37,100.0,6,Highly Recommended
Virgin Plastic (PP),69.4,6.0,2.3,4.37,21.5,10,Avoid
Edible Seaweed Film,5.6,5.3,100.0,0.58,7.9,3,Consider as Option
Bioplastic (PLA),70.5,1.2,86.8,2.36,40.6,9,Consider as Option
Recycled Cardboard,24.1,4.9,95.4,1.49,86.6,4,Highly Recommended
Bioplastic (PLA),66.9,7.1,88.7,1.63,50.5,9,Highly Recommended
Recycled Cardboard,35.0,9.2,94.6,1.04,87.9,3,Highly Recommended
Bagasse (Sugarcane),33.4,7.2,95.2,1.02,58.1,5,Highly Recommended
Mushroom Mycelium,16.2,3.2,100.0,0.18,100.0,5,Highly Recommended
Mushroom Mycelium,16.8,5.9,100.0,0.19,100.0,4,Highly Recommended
Bagasse (Sugarcane),29.9,7.7,99.1,1.17,69.7,6,Highly Recommended
Bagasse (Sugarcane),20.6,0.5,97.4,1.21,51.9,6,Highly Recommended
Mushroom Mycelium,13.3,7.1,100.0,0.11,100.0,4,Highly Recommended
Bamboo Fiber,47.7,1.7,96.0,1.15,42.7,7,Highly Recommended
Virgin Plastic (PP),65.3,2.3,1.3,4.89,27.0,10,Avoid
Mushroom Mycelium,24.9,4.0,100.0,0.14,100.0,5,Highly Recommended
Virgin Plastic (PP),63.9,2.4,4.5,4.83,14.1,10,Avoid
Mushroom Mycelium,17.9,1.0,100.0,0.33,100.0,5,Highly Recommended
Edible Seaweed Film,12.3,3.8,100.0,0.44,2.9,3,Consider as Option
Recycled Cardboard,15.9,6.6,98.2,0.83,94.9,3,Highly Recommended
Virgin Plastic (PP),89.9,0.9,4.2,5.71,18.7,10,Avoid
Virgin Plastic (PP),65.3,2.6,1.6,4.56,20.7,10,Avoid
Bagasse (Sugarcane),30.0,3.8,99.7,1.37,66.6,7,Highly Recommended
Bioplastic (PLA),54.6,3.7,92.9,2.18,52.0,8,Highly Recommended
Mushroom Mycelium,18.8,6.0,100.0,0.19,100.0,4,Highly Recommended
Bamboo Fiber,42.9,8.3,99.9,0.52,36.7,7,Highly Recommended
Bagasse (Sugarcane),37.4,8.9,98.6,1.19,53.2,6,Highly Recommended
Aluminum Foil,43.1,1.3,0.0,11.69,92.3,10,Avoid
Bamboo Fiber,44.6,8.3,96.8,1.12,44.4,6,Highly Recommended
Bagasse (Sugarcane),24.1,1.9,95.1,1.34,62.0,5,Highly Recommended
Bioplastic (PLA),50.6,1.4,90.8,2.09,59.1,8,Highly Recommended
Edible Seaweed Film,13.0,0.9,100.0,0.47,5.0,2,Consider as Option
Bamboo Fiber,59.5,7.7,97.6,1.08,41.4,8,Highly Recommended
Recycled Cardboard,34.2,3.8,98.0,1.4,81.3,4,Highly Recommended
Bioplastic (PLA),67.0,3.5,88.7,2.5,44.5,9,Consider as Option
Bamboo Fiber,44.3,1.5,99.5,0.64,46.3,8,Highly Recommended
Bagasse (Sugarcane),38.7,7.4,98.3,1.21,63.1,5,Highly Recommended
Virgin Plastic (PP),74.0,5.5,2.3,5.35,26.9,10,Avoid
Recycled Cardboard,29.8,6.4,95.4,1.4,91.2,5,Highly Recommended
Recycled Cardboard,31.6,8.9,92.3,1.13,80.9,3,Highly Recommended
Mushroom Mycelium,15.4,1.1,100.0,0.34,100.0,6,Highly Recommended
Bamboo Fiber,44.0,3.3,98.9,0.65,45.8,6,Highly Recommended
Bagasse (Sugarcane),38.5,6.9,99.7,1.11,53.1,7,Highly Recommended
Recycled Cardboard,29.6,4.9,98.7,1.41,80.4,3,Highly Recommended
Virgin Plastic (PP),89.9,2.1,0.4,5.93,19.0,10,Avoid
Recycled Cardboard,28.5,4.2,91.8,1.34,90.2,3,Highly Recommended
Mushroom Mycelium,21.1,6.5,100.0,0.3,100.0,6,Highly Recommended
Edible Seaweed Film,13.9,3.9,100.0,0.55,1.8,2,Consider as Option
Mushroom Mycelium,22.2,4.3,100.0,0.32,100.0,4,Highly Recommended
Bamboo Fiber,43.4,6.1,97.1,1.08,47.6,6,Highly Recommended
Recycled Cardboard,16.9,9.0,98.0,1.16,84.7,5,Highly Recommended
Bioplastic (PLA),55.0,9.0,90.9,1.94,51.9,8,Highly Recommended
Bioplastic (PLA),53.0,4.7,88.6,2.32,58.5,8,Highly Recommended
Bagasse (Sugarcane),26.9,8.4,95.6,0.99,63.5,5,Highly Recommended
Recycled Cardboard,29.8,7.8,96.1,0.97,99.9,3,Highly Recommended
Recycled Cardboard,25.7,4.4,94.9,0.85,84.2,4,Highly Recommended
Mushroom Mycelium,24.6,4.6,100.0,0.3,100.0,6,Highly Recommended
Edible Seaweed Film,10.2,2.5,100.0,0.38,6.1,4,Consider as Option
Edible Seaweed Film,7.3,7.1,100.0,0.46,2.0,2,Consider as Option
Bagasse (Sugarcane),28.0,2.6,95.9,1.21,65.4,7,Highly Recommended
Bamboo Fiber,59.9,8.2,98.0,1.05,40.0,6,Highly Recommended
Bioplastic (PLA),72.7,5.9,82.8,1.76,41.5,9,Highly Recommended
Virgin Plastic (PP),89.6,9.8,1.4,4.41,17.6,10,Avoid
Bagasse (Sugarcane),37.0,8.5,97.4,1.22,59.0,7,Highly Recommended
Edible Seaweed Film,13.0,3.8,100.0,0.47,3.3,4,Consider as Option
Virgin Plastic (PP),84.9,3.1,3.9,3.82,23.1,10,Avoid
Recycled Cardboard,33.2,5.2,92.5,0.84,98.5,3,Highly Recommended
Virgin Plastic (PP),60.1,1.9,3.1,3.86,14.9,10,Avoid
Edible Seaweed Film,13.7,6.1,100.0,0.23,0.4,4,Consider as Option
Mushroom Mycelium,12.1,9.5,100.0,0.12,100.0,4,Highly Recommended
Edible Seaweed Film,5.4,6.7,100.0,0.49,4.1,4,Consider as Option
Mushroom Mycelium,15.9,1.6,100.0,0.35,100.0,4,Highly Recommended
Edible Seaweed Film,9.5,1.4,100.0,0.52,2.1,3,Consider as Option
Edible Seaweed Film,6.1,3.9,100.0,0.21,6.7,4,Consider as Option
Bagasse (Sugarcane),35.0,3.5,97.5,1.04,66.1,7,Highly Recommended
Edible Seaweed Film,5.1,1.2,100.0,0.49,2.0,3,Consider as Option
Aluminum Foil,26.5,3.6,0.0,11.22,94.9,10,Avoid
Recycled Cardboard,19.5,8.3,95.5,0.91,82.2,5,Highly Recommended
Mushroom Mycelium,10.5,9.8,100.0,0.3,100.0,4,Highly Recommended
Aluminum Foil,39.3,4.8,0.0,11.8,99.3,10,Avoid
Aluminum Foil,29.3,8.6,0.0,10.63,91.6,10,Avoid
Edible Seaweed Film,8.3,6.0,100.0,0.56,1.6,3,Consider as Option
Bagasse (Sugarcane),31.2,2.5,99.2,1.07,64.2,6,Highly Recommended
Mushroom Mycelium,12.8,5.9,100.0,0.27,100.0,5,Highly Recommended
Virgin Plastic (PP),68.8,6.8,0.5,5.82,26.3,10,Avoid
Recycled Cardboard,33.6,7.8,94.1,1.28,91.7,5,Highly Recommended
Recycled Cardboard,27.0,2.5,92.7,1.25,92.6,3,Highly Recommended
Bioplastic (PLA),71.1,2.1,87.5,1.72,58.7,9,Highly Recommended
Virgin Plastic (PP),82.2,2.3,1.0,4.56,20.2,10,Avoid
Edible Seaweed Film,6.6,3.9,100.0,0.3,0.4,4,Consider as Option
Aluminum Foil,35.0,0.8,0.0,8.75,95.0,10,Avoid
Recycled Cardboard,15.9,1.3,93.2,1.44,99.0,4,Highly Recommended
Virgin Plastic (PP),65.3,2.3,1.3,4.89,27.0,10,Avoid
Virgin Plastic (PP),61.4,5.0,1.5,4.3,13.6,10,Avoid
Aluminum Foil,23.0,1.7,0.0,10.2,98.1,10,Avoid
Aluminum Foil,28.8,3.0,0.0,10.54,91.1,10,Avoid
Bamboo Fiber,47.2,9.7,96.3,0.69,44.5,8,Highly Recommended
Bamboo Fiber,58.6,1.5,98.5,0.93,36.5,6,Highly Recommended
Edible Seaweed Film,8.3,4.8,100.0,0.5,8.6,4,Consider as Option
Aluminum Foil,26.7,8.7,0.0,10.35,91.8,10,Avoid
Edible Seaweed Film,13.4,9.3,100.0,0.48,3.0,2,Consider as Option
Edible Seaweed Film,13.2,8.0,100.0,0.23,5.3,3,Consider as Option
Bagasse (Sugarcane),25.8,6.6,97.6,1.17,59.3,6,Highly Recommended
Bagasse (Sugarcane),32.0,6.3,99.6,1.18,55.5,6,Highly Recommended
Bamboo Fiber,59.1,8.0,97.8,0.88,41.4,6,Highly Recommended
Bioplastic (PLA),62.6,9.9,83.2,2.16,55.2,8,Consider as Option
Bamboo Fiber,40.2,9.5,99.3,1.11,46.0,6,Highly Recommended
Bamboo Fiber,41.7,5.4,95.9,1.15,47.8,8,Highly Recommended
Bagasse (Sugarcane),25.2,3.9,95.1,1.29,63.9,5,Highly Recommended
Bioplastic (PLA),58.3,2.0,89.2,1.75,56.0,9,Highly Recommended
Recycled Cardboard,19.9,5.3,97.6,1.48,86.5,4,Highly Recommended
Virgin Plastic (PP),63.8,5.0,0.2,5.35,18.4,10,Avoid
Aluminum Foil,40.3,3.0,0.0,9.09,90.8,10,Avoid
Bagasse (Sugarcane),37.3,2.3,97.2,1.0,53.6,5,Highly Recommended
Mushroom Mycelium,11.9,9.6,100.0,0.39,100.0,6,Highly Recommended
Bioplastic (PLA),64.5,9.5,81.4,1.92,58.0,9,Highly Recommended
Edible Seaweed Film,7.5,8.6,100.0,0.31,1.8,4,Consider as Option
Mushroom Mycelium,14.0,6.4,100.0,0.32,100.0,6,Highly Recommended
Virgin Plastic (PP),66.8,6.9,0.9,3.82,19.3,10,Avoid
Virgin Plastic (PP),84.0,6.3,3.3,4.03,19.4,10,Avoid
Virgin Plastic (PP),63.8,1.3,1.0,5.94,21.6,10,Avoid
Mushroom Mycelium,15.4,1.1,100.0,0.34,100.0,6,Highly Recommended
Virgin Plastic (PP),83.6,4.0,2.4,4.45,27.7,10,Avoid
Bioplastic (PLA),56.3,5.7,91.4,2.08,53.8,8,Highly Recommended
Virgin Plastic (PP),70.0,8.0,2.3,4.74,24.9,10,Avoid
Recycled Cardboard,22.5,8.7,92.0,1.1,91.9,3,Highly Recommended
Bioplastic (PLA),55.8,2.0,83.2,1.55,54.7,9,Highly Recommended
Virgin Plastic (PP),85.3,5.1,1.4,3.63,29.1,10,Avoid
Aluminum Foil,27.5,7.5,0.0,9.52,95.5,10,Avoid
Aluminum Foil,40.0,3.3,0.0,8.08,91.0,10,Avoid
Bamboo Fiber,44.9,8.5,98.9,0.53,37.4,8,Highly Recommended
Virgin Plastic (PP),81.3,4.2,3.2,4.05,21.3,10,Avoid
Bagasse (Sugarcane),29.8,8.4,97.9,1.01,52.7,6,Highly Recommended
Bagasse (Sugarcane),30.1,3.5,98.4,1.09,56.9,6,Highly Recommended
Aluminum Foil,21.9,4.8,0.0,9.04,93.9,10,Avoid
Aluminum Foil,24.2,4.8,0.0,10.76,98.7,10,Avoid
Bagasse (Sugarcane),23.0,2.1,95.3,1.26,55.4,7,Highly Recommended
Bamboo Fiber,46.6,9.6,96.1,0.78,45.9,6,Highly Recommended
Bagasse (Sugarcane),26.6,3.3,98.9,1.1,50.3,5,Highly Recommended
Bamboo Fiber,53.2,6.6,95.3,0.8,40.4,8,Highly Recommended
Mushroom Mycelium,23.0,3.3,100.0,0.35,100.0,6,Highly Recommended
Edible Seaweed Film,14.7,1.0,100.0,0.56,0.4,3,Consider as Option
Aluminum Foil,35.7,2.8,0.0,8.6,97.8,10,Avoid
Bioplastic (PLA),53.8,7.1,93.0,1.65,53.8,9,Highly Recommended
Edible Seaweed Film,9.7,1.4,100.0,0.21,9.5,2,Consider as Option
Bamboo Fiber,58.7,6.7,97.4,0.91,47.3,7,Highly Recommended
Bioplastic (PLA),55.8,8.0,85.6,2.46,48.5,8,Consider as Option
Aluminum Foil,32.3,5.7,0.0,10.24,99.1,10,Avoid
Virgin Plastic (PP),66.3,3.6,3.4,3.8,27.0,10,Avoid
Edible Seaweed Film,10.7,7.5,100.0,0.3,8.2,4,Consider as Option
Aluminum Foil,21.7,3.5,0.0,9.41,95.7,10,Avoid
Bamboo Fiber,41.7,6.8,98.8,0.66,34.0,7,Highly Recommended
Virgin Plastic (PP),82.2,7.6,3.7,5.49,16.4,10,Avoid
Recycled Cardboard,17.2,6.2,98.9,1.39,97.2,5,Highly Recommended
Bagasse (Sugarcane),26.3,9.8,95.1,1.06,61.9,6,Highly Recommended
Virgin Plastic (PP),76.7,7.2,2.0,4.39,14.6,10,Avoid
Virgin Plastic (PP),73.4,7.1,2.1,3.5,10.3,10,Avoid
Mushroom Mycelium,18.1,9.9,100.0,0.35,100.0,4,Highly Recommended
Mushroom Mycelium,12.3,5.9,100.0,0.25,100.0,5,Highly Recommended
Mushroom Mycelium,15.9,8.6,100.0,0.15,100.0,4,Highly Recommended
Bamboo Fiber,43.9,1.7,98.8,0.93,46.0,7,Highly Recommended
Bioplastic (PLA),64.7,8.1,82.3,1.66,40.7,8,Consider as Option
Aluminum Foil,25.1,3.0,0.0,8.05,96.8,10,Avoid
Virgin Plastic (PP),80.0,8.6,3.7,5.41,15.7,10,Avoid
Aluminum Foil,26.5,1.1,0.0,10.88,93.5,10,Avoid
Edible Seaweed Film,10.7,2.0,100.0,0.42,6.0,4,Consider as Option
Bamboo Fiber,54.6,3.2,97.0,1.1,39.0,6,Highly Recommended
Bamboo Fiber,51.9,8.1,95.8,0.51,31.2,8,Highly Recommended
Mushroom Mycelium,25.0,4.3,100.0,0.25,100.0,6,Highly Recommended
Virgin Plastic (PP),67.6,8.9,1.2,5.37,20.1,10,Avoid
Aluminum Foil,43.4,6.0,0.0,10.77,95.6,10,Avoid
Bagasse (Sugarcane),31.7,0.8,97.0,1.31,66.9,5,Highly Recommended
Bioplastic (PLA),65.1,6.1,82.3,2.32,44.8,8,Consider as Option
Bamboo Fiber,52.6,9.0,96.9,0.8,46.9,6,Highly Recommended
Virgin Plastic (PP),66.4,6.6,0.8,3.62,16.8,10,Avoid
Bioplastic (PLA),65.9,2.8,83.6,1.98,55.5,9,Highly Recommended
Bamboo Fiber,56.6,4.9,97.1,1.18,33.6,8,Highly Recommended
Bagasse (Sugarcane),35.5,2.5,99.5,0.93,53.1,5,Highly Recommended
Edible Seaweed Film,10.0,6.6,100.0,0.25,1.8,2,Consider as Option
Bioplastic (PLA),71.9,7.7,94.4,2.5,41.3,8,Consider as Option
Bagasse (Sugarcane),32.5,2.2,96.3,1.19,59.5,7,Highly Recommended
Bioplastic (PLA),65.7,6.6,86.9,2.36,58.7,8,Highly Recommended
Bioplastic (PLA),70.3,6.5,90.7,2.02,51.0,8,Highly Recommended
Mushroom Mycelium,16.9,1.7,100.0,0.27,100.0,6,Highly Recommended
Virgin Plastic (PP),67.0,5.2,1.2,4.02,15.8,10,Avoid
Bamboo Fiber,53.7,1.3,98.1,0.92,35.6,7,Highly Recommended
Recycled Cardboard,20.9,3.6,99.2,1.2,86.1,5,Highly Recommended
Edible Seaweed Film,5.7,2.5,100.0,0.41,1.2,2,Consider as Option
Edible Seaweed Film,11.8,1.6,100.0,0.38,1.9,3,Consider as Option
Bamboo Fiber,42.9,8.3,99.9,0.52,36.7,7,Highly Recommended
Recycled Cardboard,30.8,9.4,90.9,1.36,85.0,3,Highly Recommended
Recycled Cardboard,18.4,1.0,92.4,1.33,98.3,3,Highly Recommended
Edible Seaweed Film,8.3,4.8,100.0,0.5,8.6,4,Consider as Option
Bamboo Fiber,46.0,8.9,95.8,0.52,30.1,8,Highly Recommended
Mushroom Mycelium,17.4,1.4,100.0,0.21,100.0,5,Highly Recommended
Bioplastic (PLA),63.7,4.7,90.1,1.77,42.4,9,Highly Recommended
Recycled Cardboard,33.1,3.5,91.9,1.44,87.0,5,Highly Recommended
Aluminum Foil,40.1,0.7,0.0,10.34,96.8,10,Avoid
Recycled Cardboard,31.6,0.8,91.4,1.39,80.9,4,Highly Recommended
Bagasse (Sugarcane),40.0,7.6,95.6,0.91,66.1,5,Highly Recommended
Bioplastic (PLA),67.2,5.5,91.3,2.02,47.0,8,Highly Recommended
Recycled Cardboard,21.9,3.8,96.1,1.12,97.1,5,Highly Recommended
Mushroom Mycelium,21.6,1.7,100.0,0.11,100.0,5,Highly Recommended
Virgin Plastic (PP),66.4,4.9,1.7,5.09,23.6,10,Avoid
