material_type,strength,weight_capacity,biodegradability_score,recyclability_percent,co2_emission_score,product_category,typical_weight,fragility_level,shape,material,recycling,weight,co2_impact_index,cost,cost_efficiency_index,material_suitability_score,final_sustainability_index
Wheat Straw Fiber,76,20,45,84,27.3,Food,0.39,Low,can,plastic,reuse,9.53,0.0353356890459364,41.02,0.023798191337458353,42.6,42.65913388038339
Palm Leaf Material,69,30,48,53,21.57,Stationery,0.82,Medium,bottle,glass,recycle,13.77,0.044306601683650866,47.61,0.020571898786257974,31.900000000000006,31.964878500469915
Mushroom Packaging,80,22,96,90,30.53,Industrial Parts,1.18,Medium,can,plastic,recycle,14.58,0.03171582619727244,45.83,0.02135383301302584,54.6,54.653069659210296
Algae Bioplastic,65,20,78,43,16.48,Food,0.62,Low,pouch,glass,compost,15.32,0.05720823798627002,50.86,0.01928268414963363,37.7,37.77649092213591
Coconut Coir,79,22,91,79,14.19,Food,0.54,High,bottle,glass,compost,16.25,0.06583278472679395,46.74,0.020946795140343526,51.1,51.18677957986714
Wheat Straw Fiber,90,11,100,95,25.83,Beverages,1.06,Medium,can,glass,reuse,20.82,0.03727171077152441,41.08,0.023764258555133082,62.7,62.76103596932666
Bamboo Fiber,95,11,37,62,13.23,Clothing,1.24,Low,box,paper,reuse,27.38,0.07027406886858749,46.16,0.02120441051738762,45,45.09147847938597
Cornstarch Polymer,51,25,64,96,25.44,Cosmetics,2.33,Low,can,glass,recycle,18.12,0.037821482602118,32.87,0.02952465308532625,39.800000000000004,39.86734613568745
Recycled Cardboard,87,9,42,65,31.75,Fragile Goods,1.14,Low,bottle,paper,reuse,27.73,0.030534351145038167,48.28,0.020292207792207792,44.8,44.85082655893724
Recycled Cardboard,77,26,34,46,23.51,Toys,2.22,Medium,pouch,glass,compost,20.42,0.04079967360261118,56.99,0.01724435247456458,31.3,31.358044026077174
Mushroom Packaging,63,9,46,92,25.27,Cosmetics,1.26,Low,box,paper,recycle,18.93,0.03806623524933384,27.89,0.03461405330564209,43.8,43.872680288554974
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,pouch,metal,reuse,25.23,0.04251700680272109,44.92,0.021777003484320556,43.1,43.164294010287044
Paper Pulp Mold,49,20,94,76,22.51,Healthcare,0.8,Low,pouch,metal,recycle,19.22,0.042535091450446615,38.47,0.02533569799847986,42.7,42.76787078944893
Bamboo Fiber,88,28,56,41,30.69,Baby Products,0.55,Low,box,paper,compost,16.09,0.031555695803092455,64.47,0.015274171376202841,37.400000000000006,37.446829867179304
PLA Bioplastic,85,16,93,98,19.22,Healthcare,0.45,Medium,can,metal,compost,26.63,0.04945598417408507,36.8,0.026455026455026457,58.900000000000006,58.97591101062912
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,can,plastic,compost,19.81,0.03806623524933384,43.93,0.022256843979523704,42.1,42.16032307922886
Cassava Biopolymer,73,17,40,59,5.52,Fragile Goods,1.31,Medium,pouch,glass,reuse,28.96,0.15337423312883436,43.71,0.022366360993066426,36.6,36.775740594121906
Areca Leaf Sheath,72,28,92,50,22.57,Fragile Goods,1.53,Medium,can,paper,reuse,18.23,0.04242681374628765,54.37,0.018060321473722232,41.6,41.66048713522001
Recycled Paper,40,25,92,64,23.02,Fragile Goods,2.11,Medium,bottle,metal,reuse,13.34,0.041631973355537054,44.39,0.02203128442388191,35.7,35.76366325777942
Eco-Foam Starch,83,24,39,81,25.51,Baby Products,3,Medium,pouch,metal,reuse,16.15,0.03772161448509996,50.37,0.019466614755693987,41.7,41.757188229240796
Recycled HDPE,84,12,56,49,27.57,Clothing,2.2,Low,pouch,plastic,reuse,16.65,0.03500175008750438,48.43,0.020230629172567266,42.6,42.65523237926007
Cassava Biopolymer,69,20,73,84,5.96,Baby Products,2.53,Medium,pouch,glass,reuse,19.52,0.14367816091954022,36.42,0.026723677177979688,46.099999999999994,46.27040183809751
Bamboo Fiber,41,11,83,75,14.12,Industrial Parts,1.65,Low,bottle,plastic,compost,16.03,0.06613756613756615,32.9,0.029498525073746312,40.6,40.69563609121131
Recycled Paper,52,22,99,91,19.71,Baby Products,2.41,High,pouch,paper,compost,13.74,0.048285852245292124,32.48,0.029868578255675033,46.99999999999999,47.07815443050096
Hemp Fiber,75,17,59,88,18.54,Clothing,1.84,Low,can,metal,reuse,18.39,0.0511770726714432,45.14,0.021673168617251843,46.8,46.872850241288695
PLA Bioplastic,85,16,93,98,19.22,Healthcare,0.45,Medium,can,metal,compost,20.46,0.04945598417408507,39.97,0.0244081034903588,58.900000000000006,58.97386408766445
Wheat Straw Fiber,90,11,100,95,25.83,Beverages,1.06,Medium,can,metal,recycle,22.06,0.03727171077152441,45.85,0.021344717182497332,62.7,62.758616427954024
Wheat Straw Fiber,76,20,45,84,27.3,Food,0.39,Low,can,plastic,reuse,19.92,0.0353356890459364,45.77,0.02138122728244601,42.6,42.656716916328385
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,pouch,plastic,recycle,26.83,0.037778617302606725,29.64,0.03263707571801566,39.900000000000006,39.97041569302063
Sugarcane Bagasse,94,4,34,57,13.32,Beverages,2.38,Medium,bottle,glass,reuse,20.31,0.06983240223463687,43.57,0.02243661655822302,45.199999999999996,45.29226901879286
Cornstarch Polymer,67,10,92,93,20.52,Clothing,2.57,Low,box,paper,reuse,9.08,0.04646840148698885,32.53,0.029824038174768863,54.1,54.17629243966176
Areca Leaf Sheath,53,25,90,79,11.38,Clothing,2.36,High,can,glass,compost,21.25,0.08077544426494346,40.02,0.024378352023403216,42.2,42.30515379628835
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,box,glass,recycle,20.04,0.03117206982543641,52.64,0.018642803877703205,40.7,40.749814873703144
Jute Fiber,94,18,56,72,15.32,Food,0.51,Medium,box,metal,compost,23.68,0.061274509803921566,47.55,0.02059732234809475,48.4,48.48187183215202
Coconut Coir,66,18,52,64,20.43,Stationery,2.76,Medium,pouch,plastic,reuse,14.4,0.04666355576294914,42.55,0.022962112514351322,37.6,37.6696256682773
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,can,paper,recycle,25.31,0.15527950310559005,39.18,0.024888003982080638,41.99999999999999,42.18016750708766
Recycled Paper,40,25,92,64,23.02,Fragile Goods,2.11,Medium,can,glass,reuse,21.33,0.041631973355537054,32.62,0.0297441998810232,35.7,35.77137617323656
Bamboo Fiber,82,27,99,93,11.65,Home Decor,0.6,High,can,paper,compost,20.68,0.07905138339920949,47.04,0.020815986677768527,54.9,54.99986737007698
Cornstarch Polymer,72,27,64,60,23.89,Home Decor,1.74,High,box,metal,reuse,24.69,0.040176777822418644,47.55,0.02059732234809475,38.3,38.36077410017051
Recycled Paper,53,28,43,96,15.56,Food,2.79,Medium,can,glass,reuse,25.8,0.06038647342995168,33.8,0.02873563218390805,35.300000000000004,35.389122105613865
Recycled Paper,53,28,43,96,15.56,Food,2.79,Medium,can,plastic,compost,25.31,0.06038647342995168,32.19,0.030129557095510698,35.300000000000004,35.39051603052547
Bamboo Fiber,93,4,49,48,20.48,Industrial Parts,0.43,Low,bottle,glass,reuse,8.27,0.04655493482309125,41.97,0.023272050267628578,46.1,46.16982698509072
Algae Bioplastic,67,19,89,49,29.02,Toys,1.45,Low,pouch,metal,recycle,12.89,0.033311125916055964,43.64,0.022401433691756272,42,42.05571255960781
Recycled Cardboard,40,5,76,50,28.84,Cosmetics,2.88,Low,can,glass,compost,17.8,0.03351206434316354,30.26,0.03198976327575176,35.7,35.76550182761892
Palm Leaf Material,68,24,59,92,14.99,Toys,2.95,Low,can,metal,reuse,14.06,0.06253908692933083,46.36,0.021114864864864864,43.400000000000006,43.4836539517942
Hemp Fiber,75,17,59,88,18.54,Clothing,1.84,Low,pouch,glass,compost,16.52,0.0511770726714432,38.68,0.02520161290322581,46.8,46.876378685574664
Cassava Biopolymer,69,20,73,84,5.96,Baby Products,2.53,Medium,pouch,paper,reuse,19.74,0.14367816091954022,40.03,0.024372410431391663,46.099999999999994,46.268050571350926
PLA Bioplastic,65,23,54,79,16.26,Baby Products,0.24,Medium,box,plastic,compost,17.65,0.057937427578215524,43.03,0.02271178741766977,39.2,39.28064921499589
Paper Pulp Mold,69,11,67,66,10.33,Beverages,2.23,Low,box,metal,compost,19.88,0.088261253309797,39.43,0.02473410833539451,44.00000000000001,44.1129953616452
Recycled Cardboard,40,5,76,50,28.84,Cosmetics,2.88,Low,box,paper,recycle,26.8,0.03351206434316354,32.15,0.030165912518853696,35.7,35.76367797686202
Recycled Paper,42,9,57,94,10.58,Clothing,2.69,High,pouch,metal,compost,28.9,0.08635578583765112,20.77,0.04593477262287552,40.099999999999994,40.23229055846053
Paper Pulp Mold,87,14,87,91,33.52,Food,0.64,Medium,bottle,glass,recycle,21.87,0.028968713789107762,47.6,0.0205761316872428,57.5,57.54954484547635
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,can,metal,compost,26.68,0.03806623524933384,53.45,0.018365472910927456,42.1,42.15643170816026
Recycled HDPE,78,27,58,91,9.77,Healthcare,0.11,Medium,pouch,metal,compost,18.01,0.09285051067780874,39.63,0.02461235540241201,45.1,45.21746286608022
Algae Bioplastic,46,11,87,40,23.38,Home Decor,2.71,High,bottle,plastic,reuse,16.88,0.04101722723543889,35.57,0.027344818156959255,35.900000000000006,35.968362045392404
Palm Leaf Material,46,8,62,100,20.09,Home Decor,1.47,Low,pouch,paper,reuse,19.62,0.0474158368895211,23.97,0.040048057669203045,43.800000000000004,43.88746389455873
Cornstarch Polymer,67,10,92,93,20.52,Clothing,2.57,Low,bottle,glass,reuse,18.44,0.04646840148698885,30.66,0.03158559696778269,54.1,54.17805399845477
Cornstarch Polymer,65,23,48,49,25.47,Food,1.75,Low,pouch,plastic,compost,23.38,0.037778617302606725,50.26,0.019508388607101055,32.00000000000001,32.057287005909714
Wheat Straw Fiber,42,15,44,60,26.56,Clothing,1.95,High,pouch,metal,compost,20.07,0.036284470246734396,33.57,0.028926815157651144,28.9,28.965211285404383
Recycled Cardboard,77,6,43,68,23.23,Electronics,1.5,Medium,bottle,plastic,recycle,27.55,0.041271151465125874,46.32,0.021132713440405747,43.5,43.562403864905534
Recycled HDPE,41,19,42,62,19.8,Stationery,2.54,High,bottle,metal,recycle,20.6,0.04807692307692307,39.95,0.02442002442002442,27.400000000000002,27.47249694749695
Jute Fiber,60,23,91,74,29.96,Food,2.41,Medium,bottle,glass,recycle,16.46,0.03229974160206718,43.33,0.022558087074216106,44.1,44.154857828676285
Cornstarch Polymer,81,20,87,77,14.12,Beverages,2.15,High,bottle,metal,reuse,17.64,0.06613756613756615,48.39,0.02024701356549909,51.1,51.186384579703066
Recycled Paper,42,9,57,94,10.58,Clothing,2.69,High,bottle,plastic,reuse,17.03,0.08635578583765112,27.68,0.03486750348675035,40.099999999999994,40.2212232893244
Mushroom Packaging,56,20,32,93,6.68,Healthcare,1.58,High,bottle,plastic,recycle,23.66,0.13020833333333334,32.18,0.030138637733574444,35.800000000000004,35.96034697106691
Paper Pulp Mold,57,8,45,95,17.09,Home Decor,0.14,Medium,bottle,metal,compost,19.47,0.055279159756771695,26.36,0.03654970760233918,42.699999999999996,42.79182886735911
Hemp Fiber,61,29,53,58,17.13,Beverages,2.12,Medium,bottle,paper,reuse,20.59,0.05515719801434087,48.15,0.02034587995930824,31.8,31.87550307797365
Sugarcane Bagasse,94,4,34,57,13.32,Beverages,2.38,Medium,pouch,plastic,reuse,22.09,0.06983240223463687,47.72,0.020525451559934318,45.199999999999996,45.29035785379457
Recycled HDPE,93,22,92,46,7.7,Stationery,0.31,High,bottle,paper,recycle,22.7,0.1149425287356322,55.89,0.017577781683951486,48.9,49.032520310419585
Sugarcane Bagasse,93,8,90,96,9.47,Cosmetics,1.77,High,bottle,paper,reuse,25.29,0.09551098376313276,33.92,0.0286368843069874,62.699999999999996,62.82414786807012
Recycled Paper,48,23,77,88,24.32,Fragile Goods,2.02,Medium,pouch,paper,recycle,21.68,0.03949447077409163,33.32,0.029137529137529136,40.5,40.568631999911624
Coconut Coir,44,27,84,58,33.39,Stationery,0.37,High,pouch,paper,reuse,15.2,0.02907822041291073,43.22,0.022614201718679332,33.5,33.551692422131595
Areca Leaf Sheath,50,5,49,49,28.07,Beverages,2.21,Medium,box,plastic,compost,17.57,0.03439972480220158,35.28,0.027563395810363836,33.1,33.16196312061256
Recycled Paper,58,28,83,47,28.38,Food,2.83,Low,box,plastic,compost,17.56,0.03403675970047652,55.76,0.017618040873854827,35,35.05165480057433
Mushroom Packaging,49,11,71,53,14.68,Clothing,0.14,Medium,bottle,paper,reuse,16.36,0.06377551020408163,31.91,0.03038590094196293,36.2,36.29416141114605
Jute Fiber,53,29,95,89,21.87,Beverages,1.03,High,bottle,plastic,recycle,25.19,0.043725404459991256,41.3,0.023640661938534282,44,44.06736606639853
Mushroom Packaging,63,9,46,92,25.27,Cosmetics,1.26,Low,box,paper,reuse,19.26,0.03806623524933384,36.99,0.026322716504343247,43.8,43.864388951753675
Palm Leaf Material,62,18,75,78,32.22,Healthcare,0.67,High,box,paper,recycle,20.89,0.030102347983142687,47.04,0.020815986677768527,43.8,43.85091833466091
Jute Fiber,43,4,54,67,24.18,Beverages,2.3,Low,can,paper,reuse,21.67,0.03971405877680699,27.7,0.03484320557491289,35.9,35.97455726435172
PLA Bioplastic,95,20,39,51,21.56,Healthcare,2.18,Low,can,metal,compost,21.05,0.044326241134751775,56.93,0.017262213015708613,40.5,40.56158845415046
Eco-Foam Starch,89,5,50,64,12.43,Industrial Parts,0.57,Low,bottle,glass,compost,21.55,0.07446016381236038,44.35,0.022050716648291068,48,48.096510880460656
Hemp Fiber,45,27,80,95,23.02,Industrial Parts,1.9,Low,can,plastic,reuse,32.04,0.041631973355537054,35.89,0.027107617240444564,40.4,40.46873959059598
Eco-Foam Starch,47,14,78,100,23.62,Baby Products,2.82,Low,box,plastic,reuse,23.38,0.04061738424045491,28.17,0.03428179636612958,45.5,45.574899180606586
Paper Pulp Mold,65,12,55,94,19.64,Fragile Goods,1.2,Medium,bottle,paper,reuse,15.4,0.04844961240310077,34.97,0.027800945232137893,45.699999999999996,45.77625055763524
Algae Bioplastic,95,24,85,62,16.33,Food,1.07,High,pouch,metal,compost,21.58,0.05770340450086556,47.14,0.02077274615704196,50.7,50.77847615065791
Paper Pulp Mold,69,11,67,66,10.33,Beverages,2.23,Low,pouch,metal,compost,20.53,0.088261253309797,41.08,0.023764258555133082,44.00000000000001,44.112025511864935
Paper Pulp Mold,82,19,64,95,18.84,Industrial Parts,2.09,Low,box,plastic,recycle,13.06,0.05040322580645162,42.36,0.023062730627306273,50.699999999999996,50.77346595643375
Recycled Cardboard,77,26,34,46,23.51,Toys,2.22,Medium,can,paper,reuse,8.08,0.04079967360261118,53.58,0.01832172957127153,31.3,31.359121403173884
Cornstarch Polymer,49,8,42,59,7.5,Home Decor,2.98,Low,pouch,plastic,reuse,20.71,0.11764705882352941,38.79,0.025131942699170646,32.50000000000001,32.642779001522705
Bamboo Fiber,64,4,69,81,34.12,Beverages,2.51,Medium,can,paper,compost,18.6,0.028473804100227793,31.39,0.030873726458783574,48,48.059347530559016
Jute Fiber,51,24,30,57,28.66,Baby Products,0.27,Low,pouch,paper,reuse,14.26,0.033715441672285906,42.56,0.02295684113865932,25.499999999999996,25.55667228281094
Jute Fiber,69,9,82,56,17.74,Clothing,2.23,Low,can,glass,recycle,17.3,0.05336179295624333,46.75,0.020942408376963352,45.6,45.67430420133321
Cassava Biopolymer,92,6,96,46,22.15,Food,0.43,Low,pouch,paper,reuse,18.7,0.04319654427645789,46.12,0.021222410865874366,54.2,54.26441895514233
Recycled PET Blend,46,4,72,73,34.68,Healthcare,1.24,Low,pouch,glass,compost,17.09,0.028026905829596414,28.02,0.03445899379738112,41.599999999999994,41.66248589962697
Recycled HDPE,77,19,42,55,21.28,Industrial Parts,2.86,Medium,bottle,plastic,reuse,21.36,0.04488330341113106,48.29,0.02028809089064719,36.8,36.865171394301775
Hemp Fiber,65,20,65,68,18,Beverages,0.48,Low,bottle,plastic,compost,20.88,0.05263157894736842,45.22,0.021635655560363478,40.1,40.17426723450774
Palm Leaf Material,62,18,75,78,32.22,Healthcare,0.67,High,box,metal,recycle,23.99,0.030102347983142687,40.85,0.02389486260454002,43.8,43.853997210587686
Coconut Coir,46,20,98,86,32.17,Baby Products,0.88,Low,pouch,glass,recycle,25.79,0.03014772384684956,30.94,0.031308703819661866,44.599999999999994,44.66145642766651
Recycled PET Blend,88,15,47,51,28.77,Healthcare,1.3,High,can,plastic,reuse,23.22,0.03359086328518643,49.98,0.019615535504119264,41.5,41.55320639878931
Jute Fiber,65,26,37,65,6.27,Beverages,0.4,Medium,pouch,glass,reuse,16.59,0.13755158184319122,43.3,0.022573363431151242,32.1,32.26012494527434
Jute Fiber,56,26,31,99,5.29,Stationery,0.31,Low,can,plastic,compost,20.84,0.1589825119236884,35.3,0.027548209366391185,35,35.18653072129008
Mushroom Packaging,87,28,89,70,19.97,Stationery,1.23,Low,can,glass,recycle,11.97,0.047687172150691466,54.37,0.018060321473722232,49.5,49.56574749362441
Mushroom Packaging,46,20,55,85,25.86,Stationery,1.84,Medium,pouch,glass,recycle,17.63,0.03723008190618019,35.64,0.027292576419213975,35.8,35.86452265832539
Jute Fiber,81,22,46,91,22.42,Food,2.35,High,can,paper,recycle,7.3,0.04269854824935952,39.01,0.024993751562109475,45.1,45.16769229981147
Eco-Foam Starch,48,23,93,66,21.89,Home Decor,0.89,High,box,plastic,recycle,18.24,0.043687199650502405,43.08,0.022686025408348458,39.300000000000004,39.36637322505885
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,bottle,metal,reuse,17.32,0.03117206982543641,53.17,0.018460402436773122,40.7,40.74963247226221
Hemp Fiber,52,30,57,84,27.23,Healthcare,2.54,High,can,paper,reuse,23.46,0.035423308537017355,45.68,0.021422450728363324,34.8,34.85684575926538
Bamboo Fiber,94,29,97,44,32.82,Electronics,0.77,High,pouch,metal,compost,15.16,0.02956830277942046,63.51,0.015501472639900793,47.7,47.74506977541932
Paper Pulp Mold,74,26,73,100,11.85,Electronics,2.98,High,bottle,glass,recycle,20.85,0.07782101167315175,44.69,0.02188662727073758,49,49.09970763894389
Mushroom Packaging,89,15,43,41,32.86,Cosmetics,2.39,Low,box,paper,reuse,18.11,0.029533372711163616,55.69,0.01763979537837361,39,39.047173168089536
Coconut Coir,72,24,97,56,30.23,Stationery,0.6,Medium,can,glass,reuse,17.87,0.03202049311559398,54.46,0.018031013342949872,45,45.050051506458544
Mushroom Packaging,87,28,89,70,19.97,Stationery,1.23,Low,can,plastic,recycle,16.16,0.047687172150691466,54.66,0.017966223499820338,49.5,49.56565339565051
Palm Leaf Material,75,9,90,71,6.69,Industrial Parts,0.81,Low,bottle,plastic,reuse,21.5,0.13003901170351104,38.18,0.025523226135783564,52,52.15556223783929
Recycled Paper,42,9,57,94,10.58,Clothing,2.69,High,can,metal,compost,19.19,0.08635578583765112,31.18,0.031075201988812928,40.099999999999994,40.21743098782646
Hemp Fiber,53,23,77,67,17.21,Stationery,1.66,Low,pouch,plastic,compost,15.21,0.05491488193300384,43.39,0.022527596305474205,37.8,37.87744247823847
Coconut Coir,82,21,82,75,7.79,Fragile Goods,2.26,Low,bottle,metal,recycle,20.66,0.11376564277588169,47.6,0.0205761316872428,49.7,49.83434177446313
Palm Leaf Material,46,22,77,41,10.43,Toys,0.59,High,bottle,glass,compost,21.53,0.08748906386701663,38.81,0.025119316754584273,30.799999999999997,30.9126083806216
Cassava Biopolymer,55,21,52,89,14.95,Healthcare,2.4,High,can,paper,reuse,27.64,0.06269592476489029,31.83,0.03045994517209869,38.400000000000006,38.49315586993699
Wheat Straw Fiber,64,26,60,49,14.09,Beverages,0.97,Medium,box,plastic,compost,17.09,0.06626905235255136,49.69,0.019727756954034326,33.2,33.28599680930659
Recycled Cardboard,77,6,43,68,23.23,Electronics,1.5,Medium,box,glass,reuse,18.06,0.041271151465125874,40.26,0.024236548715462918,43.5,43.56550770018059
Palm Leaf Material,71,10,58,89,22.8,Beverages,1.45,Low,box,paper,recycle,13.54,0.04201680672268907,33.94,0.028620492272467088,47.7,47.77063729899516
PLA Bioplastic,92,9,37,95,31.22,Cosmetics,1.43,Low,box,glass,recycle,17.76,0.031036623215394167,41.64,0.02345215759849906,51.3,51.35448878081389
Paper Pulp Mold,49,20,94,76,22.51,Healthcare,0.8,Low,bottle,metal,reuse,14.7,0.042535091450446615,41.52,0.023518344308560677,42.7,42.76605343575901
Paper Pulp Mold,42,25,54,77,32.74,Healthcare,1.66,Low,bottle,glass,reuse,25.52,0.02963841138114997,40.06,0.024354603019970774,31.299999999999997,31.35399301440112
PLA Bioplastic,85,16,93,98,19.22,Healthcare,0.45,Medium,can,metal,compost,22.57,0.04945598417408507,37.4,0.026041666666666668,58.900000000000006,58.97549765084076
Sugarcane Bagasse,74,16,100,70,10.33,Fragile Goods,0.52,Medium,box,metal,reuse,14.62,0.088261253309797,41.9,0.023310023310023312,51.400000000000006,51.511571276619826
Palm Leaf Material,53,16,35,99,28.47,Clothing,2.11,Low,box,plastic,recycle,15.11,0.0339328130302002,29.53,0.03275466754012447,37.900000000000006,37.96668748057033
Recycled HDPE,46,13,95,63,12.39,Clothing,0.71,High,can,metal,reuse,17.24,0.07468259895444361,32.78,0.02960331557134399,41.5,41.60428591452579
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,can,metal,compost,26.49,0.03117206982543641,51.17,0.019168104274487254,40.7,40.750340174099925
Wheat Straw Fiber,74,24,56,79,19.49,Electronics,0.11,High,can,glass,compost,16.95,0.04880429477794046,43.92,0.02226179875333927,42,42.07106609353128
Eco-Foam Starch,47,14,78,100,23.62,Baby Products,2.82,Low,pouch,metal,reuse,19.12,0.04061738424045491,24.7,0.038910505836575876,45.5,45.57952789007703
Algae Bioplastic,63,27,75,84,17.29,Fragile Goods,2.91,Medium,can,metal,compost,27.67,0.05467468562055768,41.95,0.02328288707799767,42.6,42.67795757269855
Paper Pulp Mold,40,16,98,49,10.82,Stationery,2.92,High,can,glass,compost,22.08,0.08460236886632826,34.6,0.028089887640449437,36.60000000000001,36.712692256506784
Wheat Straw Fiber,40,30,66,85,21.27,Fragile Goods,1.98,Low,pouch,paper,recycle,12.76,0.0449034575662326,28.34,0.03408316291751875,33.2,33.27898662048376
Areca Leaf Sheath,41,5,33,47,15.06,Toys,0.98,Medium,box,plastic,reuse,10.84,0.062266500622665,38.06,0.02560163850486431,26.799999999999997,26.887868139127526
Coconut Coir,58,20,89,70,18.94,Home Decor,1.92,Medium,bottle,glass,recycle,20.47,0.05015045135406218,43.56,0.02244165170556553,43.2,43.27259210305963
Paper Pulp Mold,65,12,55,94,19.64,Fragile Goods,1.2,Medium,box,metal,recycle,31.51,0.04844961240310077,32.54,0.02981514609421586,45.699999999999996,45.778264758497315
Bamboo Fiber,82,27,99,93,11.65,Home Decor,0.6,High,bottle,glass,compost,26.78,0.07905138339920949,45.72,0.021404109589041095,54.9,55.00045549298825
Wheat Straw Fiber,45,28,43,55,34.82,Stationery,2.98,Low,bottle,paper,recycle,21.88,0.027917364600781685,41.47,0.02354603249352484,24.700000000000003,24.75146339709431
Recycled Paper,81,4,58,84,13.87,Home Decor,2.38,Low,can,glass,reuse,23.93,0.06724949562878278,40.97,0.02382654276864427,51.5,51.591076038397425
Palm Leaf Material,46,8,62,100,20.09,Home Decor,1.47,Low,can,glass,reuse,24.3,0.0474158368895211,30.5,0.031746031746031744,43.800000000000004,43.879161868635556
Mushroom Packaging,80,22,96,90,30.53,Industrial Parts,1.18,Medium,pouch,glass,reuse,11.82,0.03171582619727244,45.52,0.021496130696474634,54.6,54.65321195689375
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,box,glass,recycle,21.04,0.15527950310559005,42.01,0.023250406882120437,41.99999999999999,42.1785299099877
Wheat Straw Fiber,58,10,50,42,11.75,Healthcare,0.42,High,box,metal,reuse,26.57,0.0784313725490196,40.7,0.023980815347721823,32.8,32.902412187896736
Wheat Straw Fiber,43,4,81,66,31.2,Beverages,0.9,High,bottle,glass,reuse,30.46,0.03105590062111801,25.81,0.03729951510630362,41.1,41.168355415727426
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,can,paper,recycle,22.53,0.037778617302606725,28.81,0.03354579000335458,39.900000000000006,39.971324407305964
Mushroom Packaging,69,27,69,67,33.51,Baby Products,0.8,Low,can,glass,recycle,13.21,0.028977108084613158,49.55,0.019782393669634028,39.8,39.848759501754245
Recycled Cardboard,80,16,97,41,22.82,Stationery,0.98,Medium,box,glass,recycle,22.86,0.041981528127623846,49.72,0.01971608832807571,46.80000000000001,46.86169761645571
Paper Pulp Mold,40,16,98,49,10.82,Stationery,2.92,High,pouch,metal,recycle,22.77,0.08460236886632826,35.63,0.0273000273000273,36.60000000000001,36.711902396166366
Recycled Cardboard,45,23,82,60,24.61,Fragile Goods,2.45,Medium,can,metal,compost,24.35,0.03904724716907458,40.19,0.024277737314882253,35.00000000000001,35.06332498448396
Hemp Fiber,83,8,64,46,31.99,Healthcare,2.75,Medium,pouch,glass,recycle,22.03,0.030312215822976666,47.66,0.020550760378133994,44.50000000000001,44.55086297620112
Recycled PET Blend,61,30,41,92,8.54,Stationery,0.76,Low,box,metal,recycle,29.3,0.10482180293501049,40.91,0.023860653781913627,35.900000000000006,36.028682456716936
Palm Leaf Material,76,25,91,81,20.52,Electronics,0.52,High,box,metal,reuse,20.95,0.04646840148698885,42.97,0.022742779167614285,49.7,49.76921118065461
Hemp Fiber,83,16,71,89,30.61,Food,2.22,Medium,pouch,glass,reuse,20.3,0.03163555836760519,41.01,0.023803856224708403,52.10000000000001,52.15543941459232
Mushroom Packaging,49,11,71,53,14.68,Clothing,0.14,Medium,can,metal,recycle,18.69,0.06377551020408163,32.21,0.030111412225233364,36.2,36.293886922429316
Algae Bioplastic,74,10,75,99,6.62,Clothing,1.64,Low,box,plastic,recycle,20.49,0.13123359580052493,36,0.02702702702702703,54,54.15826062282755
Recycled HDPE,93,22,92,46,7.7,Stationery,0.31,High,bottle,plastic,recycle,21.4,0.1149425287356322,49.15,0.019940179461615155,48.9,49.034882708197244
Jute Fiber,62,29,33,47,25.65,Baby Products,2.66,Medium,box,plastic,reuse,20.61,0.0375234521575985,54.73,0.017943656917279744,25.900000000000002,25.955467109074878
Jute Fiber,43,4,54,67,24.18,Beverages,2.3,Low,can,metal,reuse,23.91,0.03971405877680699,33.08,0.029342723004694836,35.9,35.969056781781504
Wheat Straw Fiber,81,28,41,100,21.75,Healthcare,0.97,Low,bottle,plastic,recycle,9.64,0.04395604395604396,44.57,0.021944261575597982,44.1,44.16590030553164
Recycled HDPE,41,19,42,62,19.8,Stationery,2.54,High,box,paper,reuse,19.32,0.04807692307692307,28.57,0.033818058843422386,27.400000000000002,27.481894981920348
Recycled Paper,56,9,99,40,34.48,Clothing,1.55,High,can,plastic,reuse,22.59,0.028184892897406992,40.66,0.024003840614498322,41.9,41.9521887335119
Wheat Straw Fiber,91,7,87,98,32.75,Toys,0.55,High,can,paper,recycle,21.41,0.02962962962962963,39.28,0.024826216484607744,62.20000000000001,62.25445584611425
Bamboo Fiber,72,28,38,98,10.59,Stationery,2.72,High,box,metal,reuse,13.63,0.08628127696289906,39.03,0.02498126405196103,40.4,40.51126254101486
Bamboo Fiber,91,30,75,47,26.74,Food,0.99,Low,can,plastic,recycle,22.65,0.036049026676279745,59.03,0.016658337497917706,42.699999999999996,42.75270736417419
Coconut Coir,72,24,97,56,30.23,Stationery,0.6,Medium,pouch,paper,compost,20.25,0.03202049311559398,55.01,0.017853954650955187,45,45.04987444776655
